seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms)
10,8.7,99.88,67.6,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.04,125.3,125.3,27.88,217.84,217.84
11,8.68,99.76,67.48,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.98,296.75,296.74,6.06,47.32,47.32
12,8.7,99.64,67.57,99.64,99.64,99.64,99.64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.68,192.82,192.82,22.03,172.13,172.14
13,8.7,99.94,67.58,99.94,99.94,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.17,227.91,227.91,10.39,81.19,81.19
14,8.74,99.64,67.51,99.64,99.64,99.64,99.64,100.0,100.0,98.57,98.57,98.57,98.57,100.0,100.0,5.13,40.1,40.1,56.58,442.04,442.04
15,8.7,99.82,67.68,99.82,99.82,99.82,99.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.62,82.97,82.97,31.44,245.65,245.65
16,8.7,99.88,67.62,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.49,50.7,50.7,38.35,299.61,299.61
17,8.7,99.58,67.43,99.58,99.58,99.58,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.29,135.03,135.04,33.84,264.42,264.42
18,8.68,99.94,67.64,99.94,99.94,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.48,464.68,464.68,6.16,48.1,48.1
19,8.74,99.88,68.05,99.88,99.88,99.88,99.88,100.0,100.0,98.57,98.57,98.57,98.57,100.0,100.0,65.73,513.51,513.51,0.96,7.48,7.48
1,8.68,99.88,67.63,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.51,191.48,191.48,20.46,159.86,159.86
20,8.7,99.64,67.43,99.64,99.64,99.64,99.64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.96,484.09,484.09,2.74,21.41,21.41
2,8.68,99.58,67.5,99.58,99.58,99.58,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.96,523.16,523.16,1.91,14.9,14.9
3,8.7,99.58,67.43,99.58,99.58,99.58,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.09,0.67,0.67,82.13,641.63,641.63
4,8.7,99.82,67.34,99.82,99.82,99.82,99.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.47,19.31,19.31,63.78,498.27,498.27
5,8.7,99.88,67.62,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.89,30.39,30.39,55.03,429.95,429.95
6,8.7,99.64,67.4,99.64,99.64,99.64,99.64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35.36,276.28,276.28,10.7,83.59,83.59
7,8.7,99.7,67.37,99.7,99.7,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.6,528.15,528.15,1.11,8.67,8.67
8,8.7,99.88,67.55,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.38,362.36,362.36,5.76,44.96,44.96
9,8.68,99.58,67.37,99.58,99.58,99.58,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.83,600.26,600.26,1.07,8.37,8.37
AVG,8.698999999999998,99.75699999999999,67.54,99.75699999999999,99.75699999999999,99.75699999999999,99.75699999999999,100.0,100.0,99.857,99.857,99.857,99.857,100.0,100.0,32.93300000000001,257.29599999999994,257.29599999999994,23.919,186.86950000000002,186.87000000000003
