node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
02:00,8.45,99.66,64.79,119.0,118.6,119.0,119.0,99.66,99.66,99.66,1.0,6.0,6.0,6.0,6.0,100.0,100.0,100.0,8.45,1.0,118.6,30.97,241.96,6.0,22.8,178.12
03:00,8.45,99.79,65.38,119.0,118.75,119.0,119.0,99.79,99.79,99.79,1.0,6.0,6.0,6.0,6.0,100.0,100.0,100.0,8.45,1.0,118.75,45.02,351.69,6.0,18.07,141.21
04:00,8.45,99.4,65.55,119.0,118.3,119.0,119.0,99.41,99.41,99.41,1.0,6.0,6.0,6.0,6.0,100.0,100.0,100.0,8.45,1.0,118.3,39.96,312.17,6.0,21.39,167.12
05:00,8.69,99.7,66.16,119.0,118.65,119.0,119.0,99.71,99.71,99.71,1.0,6.0,6.0,6.0,6.0,100.0,100.0,100.0,8.69,1.0,118.65,40.64,317.47,6.0,21.46,167.64
06:00,8.77,99.92,66.5,119.0,118.9,119.0,119.0,99.92,99.92,99.92,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.9,32.63,254.95,5.0,14.11,110.23
07:00,8.77,99.87,66.98,119.0,118.85,119.0,119.0,99.87,99.87,99.87,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.85,31.17,243.5,5.0,14.14,110.47
08:00,8.77,99.83,67.27,119.0,118.8,119.0,119.0,99.83,99.83,99.83,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.8,21.03,164.29,5.0,34.4,268.75
09:00,8.77,99.74,67.77,119.0,118.7,119.0,119.0,99.75,99.75,99.75,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.7,38.33,299.42,5.0,27.64,215.94
10:00,8.8,99.87,68.11,119.0,118.85,119.0,119.0,99.87,99.87,99.87,1.0,5.0,4.95,5.0,5.0,99.0,99.0,99.0,8.8,1.0,118.85,17.6,137.5,4.95,35.36,276.21
11:00,8.77,99.83,68.58,119.0,118.8,119.0,119.0,99.83,99.83,99.83,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.8,32.75,255.85,5.0,27.41,214.14
12:00,8.8,99.79,69.32,119.0,118.75,119.0,119.0,99.79,99.79,99.79,1.0,5.0,4.95,5.0,5.0,99.0,99.0,99.0,8.8,1.0,118.75,39.81,311.04,4.95,16.31,127.42
13:00,8.77,99.58,69.21,119.0,118.5,119.0,119.0,99.58,99.58,99.58,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.5,31.75,248.07,5.0,25.4,198.44
14:00,8.77,99.79,69.72,119.0,118.75,119.0,119.0,99.79,99.79,99.79,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.75,24.06,187.96,5.0,25.23,197.11
15:00,8.77,99.79,70.23,119.0,118.75,119.0,119.0,99.79,99.79,99.79,1.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,8.77,1.0,118.75,35.36,276.27,5.0,31.15,243.36
AVG,8.7,99.75428571428571,67.5407142857143,119.0,118.71071428571427,119.0,119.0,99.75642857142857,99.75642857142857,99.75642857142857,1.0,5.285714285714286,5.278571428571429,5.285714285714286,5.285714285714286,99.85714285714286,99.85714285714286,99.85714285714286,8.7,1.0,118.71071428571427,32.934285714285714,257.29571428571427,5.278571428571429,23.919285714285714,186.86857142857144
