node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
02:00,8.45,100.0,64.99,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,8.45,1,119,0.1,0.79,6,65.33,510.42
03:00,8.45,100.0,65.65,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,8.45,1,119,12.03,93.95,6,16.83,131.51
04:00,8.45,100.0,65.75,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,8.45,1,119,0.03,0.2,6,26.17,204.43
05:00,8.77,99.15,66.22,119,118,119,119,99.16,99.16,99.16,1,6,6,6,6,100.0,100.0,100.0,8.77,1,118,16.4,128.11,6,0.67,5.21
06:00,8.77,100.0,66.53,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,4.79,37.42,5,10.2,79.69
07:00,8.77,100.0,67.03,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,51.45,401.92,5,0.0,0.0
08:00,8.77,100.0,67.31,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,0.07,0.53,5,44.4,346.88
09:00,8.77,100.0,67.85,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,0.17,1.31,5,20.0,156.25
10:00,8.77,100.0,68.55,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,54.7,427.32,5,0.0,0.0
11:00,8.77,99.15,68.63,119,118,119,119,99.16,99.16,99.16,1,5,5,5,5,100.0,100.0,100.0,8.77,1,118,8.03,62.76,5,7.2,56.25
12:00,8.77,100.0,69.37,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,0.0,0.0,5,70.6,551.56
13:00,8.77,100.0,69.66,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,0.0,0.0,5,78.6,614.06
14:00,8.77,100.0,69.82,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,8.77,1,119,0.0,0.0,5,70.8,553.12
15:00,8.77,99.15,70.19,119,118,119,119,99.16,99.16,99.16,1,5,5,5,5,100.0,100.0,100.0,8.77,1,118,0.93,7.28,5,29.4,229.69
