seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,15.0,38.940842,2.596056,0.773,4.52
11,15.0,37.688954,2.512597,0.748,4.47
12,15.0,39.103199,2.60688,0.776,4.53
13,15.0,39.574118,2.638275,0.785,4.54
14,15.0,39.35541,2.623694,0.781,4.54
15,15.0,37.682537,2.512169,0.748,4.46
16,15.0,40.143101,2.676207,0.797,4.57
17,15.0,38.586185,2.572412,0.766,4.51
18,15.0,38.394764,2.559651,0.762,4.5
19,15.0,40.816659,2.721111,0.81,4.59
1,15.0,38.285526,2.552368,0.76,4.48
20,15.0,38.676754,2.57845,0.767,4.51
2,15.0,39.004261,2.600284,0.774,4.52
3,15.0,39.206763,2.613784,0.778,4.53
4,15.0,39.451032,2.630069,0.783,4.55
5,15.0,38.407325,2.560488,0.762,4.51
6,15.0,38.69824,2.579883,0.768,4.51
7,15.0,39.234959,2.615664,0.778,4.54
8,15.0,37.937257,2.52915,0.753,4.48
9,15.0,38.56829,2.571219,0.765,4.5
AVG,15.0,38.8878088,2.5925205500000006,0.7717000000000002,4.518000000000001
