seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms)
10,8.58,99.7,67.5,99.7,99.7,99.7,99.7,100.0,100.0,98.57,98.57,98.57,98.57,100.0,100.0,18.76,146.57,146.57,35.47,277.1,277.1
11,8.7,99.45,67.37,99.46,99.46,99.46,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41.75,326.2,326.2,10.49,81.92,81.92
12,8.7,99.51,67.43,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.39,221.79,221.79,26.9,210.14,210.14
13,8.7,99.45,67.33,99.46,99.46,99.46,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.2,259.35,259.35,13.28,103.74,103.74
14,8.7,99.82,67.47,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.06,55.12,55.12,58.21,454.74,454.74
15,8.7,99.58,67.44,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.63,106.5,106.5,33.7,263.26,263.26
16,8.58,99.88,67.59,99.82,99.82,99.82,99.82,100.0,100.0,98.57,98.57,98.57,98.57,100.0,100.0,9.41,73.55,73.55,41.99,328.06,328.06
17,8.68,99.7,67.61,99.7,99.7,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.22,157.98,157.98,37.98,296.75,296.75
18,8.7,99.7,67.36,99.7,99.7,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.53,504.15,504.15,10.62,82.94,82.94
19,8.7,99.58,67.38,99.58,99.58,99.58,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.39,549.95,549.95,2.08,16.24,16.24
1,8.7,99.82,67.48,99.82,99.82,99.82,99.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.16,220.0,220.0,27.0,210.94,210.94
20,8.7,99.76,67.46,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.06,516.1,516.1,6.49,50.67,50.67
2,8.7,99.82,67.65,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.57,559.14,559.14,3.6,28.14,28.14
3,8.7,99.64,67.48,99.64,99.64,99.64,99.64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.39,10.82,10.82,84.48,659.99,659.99
4,8.6,99.45,67.26,99.46,99.46,99.46,99.46,100.0,100.0,98.81,98.81,98.81,98.81,100.0,100.0,4.07,31.77,31.77,65.72,513.47,513.47
5,8.7,99.51,67.42,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.61,43.83,43.83,56.95,444.94,444.94
6,8.7,99.58,67.42,99.58,99.58,99.58,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,39.44,308.13,308.13,13.36,104.35,104.35
7,8.7,99.82,67.49,99.82,99.82,99.82,99.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.03,562.77,562.77,4.11,32.12,32.12
8,8.7,99.64,67.39,99.64,99.64,99.64,99.64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.94,390.14,390.14,7.06,55.13,55.13
9,8.68,99.51,67.15,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.25,634.78,634.78,1.96,15.29,15.29
AVG,8.680999999999997,99.64599999999999,67.43400000000001,99.637,99.637,99.637,99.637,100.0,100.0,99.79749999999999,99.79749999999999,99.79749999999999,99.79749999999999,100.0,100.0,36.342999999999996,283.932,283.932,27.0725,211.49650000000003,211.49650000000003
