seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,30.0,38.509525,1.283651,0.382,3.57
11,30.0,38.393479,1.279783,0.381,3.57
12,30.0,39.456373,1.315212,0.391,3.59
13,30.0,38.716892,1.290563,0.384,3.57
14,30.0,38.906722,1.296891,0.386,3.58
15,30.0,38.461266,1.282042,0.382,3.57
16,30.0,38.546754,1.284892,0.382,3.57
17,30.0,36.424118,1.214137,0.361,3.52
18,30.0,41.289408,1.376314,0.41,3.63
19,30.0,39.235498,1.30785,0.389,3.58
1,30.0,38.993392,1.29978,0.387,3.58
20,30.0,37.282217,1.242741,0.37,3.54
2,30.0,40.211865,1.340395,0.399,3.6
3,30.0,37.039364,1.234645,0.368,3.54
4,30.0,38.984696,1.29949,0.387,3.59
5,30.0,38.408429,1.280281,0.381,3.57
6,30.0,38.72025,1.290675,0.384,3.58
7,30.0,36.110992,1.2037,0.358,3.52
8,30.0,37.168086,1.238936,0.369,3.54
9,30.0,38.862248,1.295408,0.386,3.58
AVG,30.0,38.48607869999999,1.2828693,0.38185,3.5695
