mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359674577,145628069,2961492,20593776,13666975,108405826,0.15459,1.932306,0.138543,2.225439,0.662,4.33
Sky_10,3359678011,117641254,4800459,6215066,5709562,100916167,0.250584,0.672549,0.128971,1.052104,0.313,3.5
Sky_11,3359700332,119715735,5071272,10633546,5914499,98096418,0.26472,0.93331,0.125367,1.323397,0.394,3.56
Sky_12,3359687206,125996788,8295695,11129928,6217153,100354012,0.433035,0.978375,0.128252,1.539663,0.458,3.75
Sky_13,3359697830,148421784,17585992,15026901,8914979,106893912,0.917989,1.350322,0.13661,2.404921,0.716,4.42
Sky_14,3359692526,126663572,6520179,12762706,7202040,100178647,0.340353,1.126012,0.128028,1.594393,0.475,3.77
Sky_15,3359690575,118281263,5679725,9090195,5226980,98284363,0.296482,0.807489,0.125607,1.229578,0.366,3.52
Sky_16,3359675333,122869304,5613667,11063344,7289786,98902507,0.293033,1.035117,0.126397,1.454547,0.433,3.66
Sky_17,3359680941,121750042,5043148,9174929,7339470,100192495,0.263252,0.931412,0.128046,1.32271,0.394,3.62
Sky_18,3359690361,108684311,4610766,4755696,2833101,96484748,0.240682,0.428008,0.123308,0.791998,0.236,3.23
Sky_19,3359682695,118920238,4626470,9149013,6216078,98928677,0.241502,0.866591,0.126431,1.234524,0.367,3.54
Sky_2,3359701089,117277772,5003638,9609209,5411646,97253279,0.26119,0.847176,0.12429,1.232656,0.367,3.49
Sky_20,3359701288,121633851,5778007,10896331,6532286,98427227,0.301612,0.982974,0.12579,1.410376,0.42,3.62
Sky_21,3359676975,119893075,8958663,6438009,5029249,99467154,0.467642,0.646753,0.127119,1.241515,0.37,3.57
Sky_22,3359690681,119456135,5055247,10156455,5919740,98324693,0.263884,0.906697,0.125659,1.29624,0.386,3.56
Sky_23,3359697159,126072346,4264845,14012279,8993059,98802163,0.222625,1.297501,0.126269,1.646395,0.49,3.75
Sky_24,3359680698,123687585,8592347,7696614,6204647,101193977,0.448521,0.784031,0.129326,1.361878,0.405,3.68
Sky_25,3359701402,116811541,6269941,8257105,4533066,97751429,0.327291,0.721366,0.124926,1.173583,0.349,3.48
Sky_26,3359678558,112017393,5203638,4145691,3733932,98934132,0.27163,0.444411,0.126438,0.842478,0.251,3.33
Sky_27,3359698147,115774913,6225578,7388539,4446118,97714678,0.324975,0.667475,0.124879,1.117329,0.333,3.45
Sky_28,3359701411,119472053,5766355,9915641,5785295,98004762,0.301004,0.885533,0.12525,1.311787,0.39,3.56
Sky_29,3359695317,114889591,6318010,6933329,4105031,97533221,0.3298,0.622564,0.124647,1.077011,0.321,3.42
Sky_3,3359673719,120404395,4987301,10850004,6199347,98367743,0.260337,0.961583,0.125714,1.347634,0.401,3.58
Sky_30,3359677932,112529510,5222900,4004860,4190762,99110988,0.272635,0.462233,0.126664,0.861532,0.256,3.35
Sky_4,3359689655,114518603,4951993,7850870,4063161,97652579,0.258494,0.671951,0.1248,1.055245,0.314,3.41
Sky_5,3359689876,108977073,4874757,4992681,2579279,96530356,0.254462,0.427059,0.123366,0.804887,0.24,3.24
Sky_6,3359690496,114308966,4973851,7503486,4328785,97502844,0.259635,0.66734,0.124609,1.051584,0.313,3.4
Sky_7,3359692526,119078585,4366957,10453990,5814610,98443028,0.227955,0.917549,0.12581,1.271314,0.378,3.54
Sky_8,3359688448,122418082,4842849,11825856,6601979,99147398,0.252797,1.03933,0.12671,1.418837,0.422,3.64
Sky_9,3359678100,120066964,4919288,9090236,7126356,98931084,0.256787,0.914616,0.126434,1.297837,0.386,3.57
