node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
02:00,19.81,99.4,90.21,119.0,118.25,119.0,119.0,99.37,99.37,99.37,1.0,1.45,1.0,1.45,1.45,72.73,72.73,72.73,19.81,0.4,118.25,39.8,310.92,1.0,28.6,223.47
03:00,26.59,99.11,90.54,119.0,117.95,119.0,119.0,99.12,99.12,99.12,1.0,1.45,1.1,1.45,1.45,78.79,78.79,78.79,26.59,0.5,117.95,55.68,434.97,1.1,34.07,266.15
04:00,18.74,99.4,90.19,119.0,118.25,119.0,119.0,99.37,99.37,99.37,1.0,1.8,1.1,1.8,1.8,61.11,61.11,61.11,18.74,0.45,118.25,53.73,419.79,1.1,7.43,58.01
05:00,7.72,99.19,93.92,119.0,118.05,119.0,119.0,99.2,99.2,99.2,1.0,1.4,0.65,1.4,1.4,43.33,43.33,43.33,7.72,0.25,118.05,52.81,412.61,0.65,23.23,181.51
06:00,30.73,99.53,93.04,119.0,118.4,119.0,119.0,99.5,99.5,99.5,1.0,1.35,0.9,1.35,1.35,66.67,66.67,66.67,30.73,0.4,118.4,46.96,366.86,0.9,16.98,132.65
07:00,21.06,99.15,84.93,119.0,117.95,119.0,119.0,99.12,99.12,99.12,1.0,2.0,1.85,2.0,2.0,92.86,92.86,92.86,21.06,0.7,117.95,41.16,321.55,1.85,25.48,199.03
08:00,38.88,99.49,94.78,119.0,118.4,119.0,119.0,99.5,99.5,99.5,1.0,1.4,0.65,1.4,1.4,50.0,50.0,50.0,38.88,0.3,118.4,25.52,199.38,0.65,17.42,136.07
09:00,15.4,99.11,86.86,119.0,117.95,119.0,119.0,99.12,99.12,99.12,1.0,1.8,1.7,1.8,1.8,94.44,94.44,94.44,15.4,0.6,117.95,46.84,365.94,1.7,34.5,269.53
10:00,39.03,99.58,91.31,119.0,118.5,119.0,119.0,99.58,99.58,99.58,1.0,1.75,1.15,3.0,1.75,65.38,38.33,65.38,39.03,0.6,118.5,26.84,209.69,1.15,40.57,316.95
11:00,22.42,99.19,89.67,119.0,118.0,119.0,119.0,99.16,99.16,99.16,1.0,2.1,1.5,3.0,2.1,73.33,50.0,73.33,22.42,0.65,118.0,41.55,324.6,1.5,38.96,304.39
12:00,14.98,99.87,87.83,119.0,118.85,119.0,119.0,99.87,99.87,99.87,1.0,2.45,1.8,3.0,2.45,74.51,60.0,74.51,14.98,0.65,118.85,48.11,375.85,1.8,21.15,165.26
13:00,16.1,99.87,89.18,119.0,118.85,119.0,119.0,99.87,99.87,99.87,1.0,1.7,1.55,3.0,1.7,91.67,51.67,91.67,16.1,0.55,118.85,35.04,273.72,1.55,34.76,271.54
14:00,19.52,99.79,93.46,119.0,118.75,119.0,119.0,99.79,99.79,99.79,1.0,2.2,1.05,3.0,2.2,48.89,35.0,48.89,19.52,0.4,118.75,27.25,212.87,1.05,22.92,179.04
15:00,34.63,99.19,92.05,119.0,118.0,119.0,119.0,99.16,99.16,99.16,1.0,2.05,1.55,3.0,2.05,75.56,51.67,75.56,34.63,0.7,118.0,40.66,317.68,1.55,34.3,267.95
16:00,18.81,99.45,84.93,119.0,118.35,119.0,119.0,99.45,99.45,99.45,1.0,2.35,2.25,3.0,2.35,96.08,75.0,96.08,18.81,0.85,118.35,38.28,299.07,2.25,27.69,216.3
17:00,9.97,99.79,81.66,119.0,118.75,119.0,119.0,99.79,99.79,99.79,1.0,2.85,2.85,3.0,2.85,100.0,95.0,100.0,9.97,0.95,118.75,43.92,343.09,2.85,20.63,161.18
18:00,39.95,99.19,93.74,119.0,118.05,119.0,119.0,99.2,99.2,99.2,1.0,1.25,0.75,2.0,1.25,57.69,37.5,57.69,39.95,0.45,118.05,39.41,307.86,0.75,43.5,339.84
19:00,37.0,99.92,93.61,119.0,118.9,119.0,119.0,99.92,99.92,99.92,1.0,1.45,0.85,2.0,1.45,60.0,42.5,60.0,37.0,0.5,118.9,51.22,400.13,0.85,13.45,105.08
20:00,29.97,98.98,87.15,119.0,117.8,119.0,119.0,98.99,98.99,98.99,1.0,1.7,1.6,2.0,1.7,94.44,80.0,94.44,29.97,0.9,117.8,41.73,326.01,1.6,19.58,153.0
21:00,25.83,99.28,87.51,119.0,118.15,119.0,119.0,99.29,99.29,99.29,1.0,1.85,1.55,2.0,1.85,84.21,77.5,84.21,25.83,0.85,118.15,37.88,295.9,1.55,24.79,193.7
22:00,29.85,99.49,93.87,119.0,118.4,119.0,119.0,99.5,99.5,99.5,1.0,1.15,0.8,2.0,1.15,66.67,40.0,66.67,29.85,0.45,118.4,38.51,300.84,0.8,19.28,150.61
23:00,14.87,99.74,86.19,119.0,118.7,119.0,119.0,99.75,99.75,99.75,1.0,1.85,1.75,2.0,1.85,94.74,87.5,94.74,14.87,0.9,118.7,27.56,215.34,1.75,26.58,207.68
24:00,17.38,99.58,91.29,119.0,118.5,119.0,119.0,99.58,99.58,99.58,1.0,1.2,1.15,2.0,1.2,95.83,57.5,95.83,17.38,0.6,118.5,35.89,280.36,1.15,30.62,239.26
25:00,55.0,98.85,96.73,119.0,117.65,119.0,119.0,98.87,98.87,98.87,1.0,0.6,0.45,2.0,0.6,78.57,22.5,78.57,55.0,0.3,117.65,40.1,313.28,0.45,22.25,173.83
