mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359676767.5,217811122.9,5960592.55,47679603.7,40624653.05,123546273.6,0.31,4.98,0.16,5.45,1.62,6.48
Sky_10,3359672299.85,152724803.8,12642628.4,20913294.35,13237366.55,105931514.5,0.66,1.93,0.14,2.72,0.81,4.55
Sky_11,3359674970.6,168142525.95,18887204.45,23691541.55,15770674.5,109793105.45,0.99,2.23,0.14,3.35,1.0,5.0
Sky_12,3359674953.75,196831372.1,19274268.3,34225246.7,24490637.8,118841219.3,1.01,3.31,0.15,4.47,1.33,5.86
Sky_13,3359679149.75,205848645.8,18522007.45,38190059.9,28851646.9,120284931.55,0.97,3.78,0.15,4.9,1.46,6.13
Sky_14,3359677423.3,199468876.1,21489371.1,35275060.0,24001124.95,118703320.05,1.12,3.34,0.15,4.62,1.37,5.94
Sky_15,3359675962.55,168644021.45,18704437.2,23892934.7,15975559.05,110071090.5,0.98,2.25,0.14,3.37,1.0,5.02
Sky_16,3359674329.95,170607817.2,19526392.1,24609002.9,16397232.1,110075190.1,1.02,2.31,0.14,3.47,1.03,5.08
Sky_17,3359674337.95,193800597.15,17196136.05,33214068.5,25718767.4,117671625.2,0.9,3.32,0.15,4.37,1.3,5.77
Sky_18,3359677911.6,138871534.25,12729982.05,14544292.05,8652785.4,102944474.75,0.66,1.31,0.13,2.1,0.63,4.13
Sky_19,3359676342.9,190811462.55,15473167.7,33640628.35,25348448.9,116349217.6,0.81,3.33,0.15,4.28,1.28,5.68
Sky_2,3359676034.6,151685362.15,12463074.15,20861756.3,12932575.6,105427956.1,0.65,1.91,0.13,2.69,0.8,4.51
Sky_20,3359671983.05,172816526.45,20896466.0,24321797.25,16374882.3,111223380.9,1.09,2.3,0.14,3.53,1.05,5.14
Sky_21,3359675258.9,161325180.35,20082190.2,19640829.65,13465115.3,108137045.2,1.05,1.87,0.14,3.05,0.91,4.8
Sky_22,3359671882.05,180157346.8,18611119.5,27910848.8,19977715.75,113657662.75,0.97,2.7,0.15,3.82,1.14,5.36
Sky_23,3359678026.7,194549494.7,15725345.1,34436048.7,25843162.4,118544938.5,0.82,3.4,0.15,4.37,1.3,5.79
Sky_24,3359671700.1,185467743.6,21917265.9,27882165.45,19909969.8,115758342.45,1.14,2.7,0.15,3.99,1.19,5.52
Sky_25,3359671057.7,156183322.95,16087983.15,20328758.65,13452154.5,106314426.65,0.84,1.91,0.14,2.88,0.86,4.65
Sky_26,3359675084.35,142218398.6,12946049.1,15711487.15,9941794.5,103619067.85,0.68,1.45,0.13,2.26,0.67,4.23
Sky_27,3359674287.85,159135502.3,18601657.2,19824988.0,13285647.4,107423209.7,0.97,1.87,0.14,2.98,0.89,4.74
Sky_28,3359673432.15,166850014.3,18006777.7,23349347.55,15527961.4,109965927.65,0.94,2.19,0.14,3.27,0.97,4.97
Sky_29,3359678921.65,156590060.1,16941475.6,19857292.05,13162596.85,106628695.6,0.88,1.86,0.14,2.88,0.86,4.66
Sky_3,3359672320.45,159072352.0,11477655.5,24784962.5,15305322.9,107504411.1,0.6,2.26,0.14,3.0,0.89,4.73
Sky_30,3359667042.65,141567251.1,12772551.7,15302691.7,9921128.35,103570879.35,0.67,1.42,0.13,2.22,0.66,4.21
Sky_4,3359675722.6,150709533.45,12370652.1,20459660.0,12512940.25,105366281.1,0.65,1.86,0.13,2.64,0.79,4.49
Sky_5,3359677625.25,137830589.15,12515349.25,13804087.95,8499866.55,103011285.4,0.65,1.26,0.13,2.04,0.61,4.1
Sky_6,3359676941.9,151298307.05,12505626.45,20333400.6,12870445.0,105588835.0,0.65,1.87,0.13,2.66,0.79,4.5
Sky_7,3359677786.65,178606952.35,19453215.8,27275770.45,18023350.6,113854615.5,1.02,2.55,0.15,3.72,1.11,5.32
Sky_8,3359677569.0,191664842.95,18193556.3,33848532.15,21772681.7,117850072.8,0.95,3.14,0.15,4.24,1.26,5.7
Sky_9,3359676560.35,179807645.2,20243579.3,27614431.5,17716159.35,114233475.05,1.06,2.56,0.15,3.76,1.12,5.35
AVG,3359675122.9216666,170703306.82666668,16407259.245000003,25580819.63666667,17652145.57,111063082.37500001,0.8569999999999997,2.439,0.142,3.436666666666667,1.0233333333333332,5.080333333333332
