mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359686229,222640549,6309929,49372606,42021585,124936429,0.329378,5.154632,0.159669,5.643679,1.68,6.63
Sky_10,3359697225,150336839,13352951,20194197,11258811,105530880,0.697024,1.77395,0.134868,2.605842,0.776,4.47
Sky_11,3359685572,178072296,21093412,27596060,18216585,111166239,1.101076,2.583833,0.14207,3.82698,1.139,5.3
Sky_12,3359684876,205819778,20264692,39602282,27159791,118793013,1.057817,3.765381,0.151817,4.975015,1.481,6.13
Sky_13,3359696315,195717366,19381097,33066636,25524521,117745112,1.011693,3.304541,0.150478,4.466713,1.329,5.83
Sky_14,3359703011,187061928,15724082,32966368,22862175,115509303,0.820797,3.14873,0.147621,4.117148,1.225,5.57
Sky_15,3359689949,180577366,24827609,22527601,18526178,114695978,1.296001,2.315433,0.146581,3.758016,1.119,5.37
Sky_16,3359686384,166785331,12444812,27794050,18313317,108233152,0.649619,2.600455,0.138322,3.388397,1.009,4.96
Sky_17,3359685656,210341168,21788777,38976149,28274451,121301791,1.137374,3.792934,0.155024,5.085332,1.514,6.26
Sky_18,3359686401,141727552,13384326,15623980,9377047,103342199,0.698662,1.410058,0.132071,2.240791,0.667,4.22
Sky_19,3359687875,210376472,17352253,37126774,30762045,125135400,0.905788,3.828929,0.159923,4.89464,1.457,6.26
Sky_2,3359700925,150938912,12147089,20078081,12999868,105713874,0.634078,1.865596,0.135102,2.634777,0.784,4.49
Sky_20,3359687923,170627506,16308088,25014772,18378274,110926372,0.851282,2.447368,0.141764,3.440414,1.024,5.08
Sky_21,3359699660,168158628,25417865,19690689,12784890,110265184,1.326813,1.831623,0.140919,3.299354,0.982,5.01
Sky_22,3359676552,193237220,24242755,31543214,21032885,116418366,1.265472,2.965292,0.148783,4.379546,1.304,5.75
Sky_23,3359690252,202366970,13782114,33661142,28936075,125987639,0.719426,3.530483,0.161012,4.410922,1.313,6.02
Sky_24,3359694337,186626906,25564575,24912610,18685998,117463723,1.334471,2.458961,0.150119,3.943551,1.174,5.55
Sky_25,3359679136,155991759,15350933,21077457,13766597,105796772,0.801319,1.965205,0.135208,2.901732,0.864,4.64
Sky_26,3359698608,142700129,12213740,16391672,9998216,104096501,0.637557,1.48839,0.133035,2.258982,0.672,4.25
Sky_27,3359693694,152719322,16059750,17830018,11934940,106894614,0.838319,1.678744,0.136611,2.653674,0.79,4.55
Sky_28,3359703028,175554100,24450675,23936667,15445543,111721215,1.276325,2.221157,0.14278,3.640262,1.084,5.23
Sky_29,3359703997,149781722,12910301,19943209,12453180,104475032,0.673918,1.827156,0.133519,2.634593,0.784,4.46
Sky_3,3359678699,158384402,12124609,25920270,14480543,105858980,0.632905,2.278606,0.135288,3.046798,0.907,4.71
Sky_30,3359680678,142631634,14197816,15938121,9533808,102961889,0.741126,1.436617,0.131585,2.309328,0.687,4.25
Sky_4,3359677246,154746359,14108494,21984644,13187512,105465709,0.736463,1.98371,0.134785,2.854958,0.85,4.61
Sky_5,3359695267,137460461,12414218,14455036,8036126,102555081,0.648022,1.268502,0.131065,2.047589,0.609,4.09
Sky_6,3359679074,152191384,12257651,21488543,13573699,104871491,0.639849,1.97751,0.134026,2.751386,0.819,4.53
Sky_7,3359689363,174196107,13444832,26521095,20807111,113423069,0.70182,2.669311,0.144955,3.516086,1.047,5.18
Sky_8,3359700878,194655406,20038981,33278489,22032162,119305774,1.046035,3.119521,0.152473,4.318028,1.285,5.79
Sky_9,3359683959,188344898,23392086,31211029,19635422,114106361,1.221067,2.86774,0.145828,4.234635,1.26,5.61
