seed,Metric,WaCo,RPL,WaCo-RPL,Winner
1,UL PDR (%),96.41,99.62,-3.21,RPL
1,UL Delay (ms),262.74,139.57,123.17,RPL
1,UL Coverage (%),100.0,100.0,0.0,Equal
1,DL PDR (%),100.0,50.0,50.0,WaCo
1,DL Delay (ms),393.63,249.39,144.24,RPL
1,DL Coverage (%),100.0,51.72,48.28,WaCo
1,DL Route Coverage (%),100.0,100.0,0.0,Equal
1,PRR to Parent (%),95.48,12.46,83.02,WaCo
2,UL PDR (%),96.26,99.8,-3.54,RPL
2,UL Delay (ms),679.74,476.9,202.84,RPL
2,UL Coverage (%),100.0,100.0,0.0,Equal
2,DL PDR (%),100.0,48.28,51.72,WaCo
2,DL Delay (ms),147.09,13.02,134.07,RPL
2,DL Coverage (%),100.0,51.72,48.28,WaCo
2,DL Route Coverage (%),100.0,100.0,0.0,Equal
2,PRR to Parent (%),95.62,18.58,77.04,WaCo
3,UL PDR (%),96.15,99.65,-3.5,RPL
3,UL Delay (ms),67.47,9.08,58.39,RPL
3,UL Coverage (%),100.0,100.0,0.0,Equal
3,DL PDR (%),100.0,49.43,50.57,WaCo
3,DL Delay (ms),836.3,477.6,358.7,RPL
3,DL Coverage (%),100.0,51.72,48.28,WaCo
3,DL Route Coverage (%),100.0,100.0,0.0,Equal
3,PRR to Parent (%),95.31,12.25,83.06,WaCo
4,UL PDR (%),96.35,99.71,-3.36,RPL
4,UL Delay (ms),69.44,13.54,55.9,RPL
4,UL Coverage (%),100.0,100.0,0.0,Equal
4,DL PDR (%),100.0,53.45,46.55,WaCo
4,DL Delay (ms),777.3,515.06,262.24,RPL
4,DL Coverage (%),100.0,55.17,44.83,WaCo
4,DL Route Coverage (%),100.0,100.0,0.0,Equal
4,PRR to Parent (%),94.86,11.7,83.16,WaCo
5,UL PDR (%),97.28,99.8,-2.52,RPL
5,UL Delay (ms),130.5,45.52,84.98,RPL
5,UL Coverage (%),100.0,100.0,0.0,Equal
5,DL PDR (%),100.0,61.49,38.51,WaCo
5,DL Delay (ms),651.49,366.91,284.58,RPL
5,DL Coverage (%),100.0,65.52,34.48,WaCo
5,DL Route Coverage (%),100.0,100.0,0.0,Equal
5,PRR to Parent (%),95.34,15.9,79.44,WaCo
6,UL PDR (%),96.81,99.83,-3.02,RPL
6,UL Delay (ms),431.95,260.35,171.6,RPL
6,UL Coverage (%),100.0,100.0,0.0,Equal
6,DL PDR (%),100.0,56.32,43.68,WaCo
6,DL Delay (ms),308.82,74.68,234.14,RPL
6,DL Coverage (%),100.0,58.62,41.38,WaCo
6,DL Route Coverage (%),100.0,100.0,0.0,Equal
6,PRR to Parent (%),94.9,11.5,83.4,WaCo
7,UL PDR (%),96.5,99.57,-3.07,RPL
