seed,Metric,WaCo,RPL,WaCo-RPL,Winner
1,Avg Energy per Node (J),1.971,3.522,-1.551,WaCo
1,Avg Power per Node (mW),0.587,1.048,-0.461,WaCo
1,Radio Duty Cycle (%),4.3,5.15,-0.85,WaCo
1,Total Energy (J),59.132,105.671,-46.54,WaCo
2,Avg Energy per Node (J),2.001,3.572,-1.571,WaCo
2,Avg Power per Node (mW),0.596,1.063,-0.467,WaCo
2,Radio Duty Cycle (%),4.32,5.16,-0.84,WaCo
2,Total Energy (J),60.041,107.169,-47.128,WaCo
3,Avg Energy per Node (J),1.915,3.429,-1.513,WaCo
3,Avg Power per Node (mW),0.57,1.021,-0.451,WaCo
3,Radio Duty Cycle (%),4.26,5.08,-0.82,WaCo
3,Total Energy (J),57.464,102.862,-45.398,WaCo
4,Avg Energy per Node (J),1.927,3.623,-1.696,WaCo
4,Avg Power per Node (mW),0.574,1.078,-0.504,WaCo
4,Radio Duty Cycle (%),4.27,5.21,-0.94,WaCo
4,Total Energy (J),57.812,108.678,-50.866,WaCo
5,Avg Energy per Node (J),1.901,3.361,-1.46,WaCo
5,Avg Power per Node (mW),0.566,1.0,-0.434,WaCo
5,Radio Duty Cycle (%),4.25,5.03,-0.78,WaCo
5,Total Energy (J),57.041,100.828,-43.787,WaCo
6,Avg Energy per Node (J),1.93,3.487,-1.557,WaCo
6,Avg Power per Node (mW),0.574,1.038,-0.464,WaCo
6,Radio Duty Cycle (%),4.27,5.12,-0.85,WaCo
6,Total Energy (J),57.892,104.606,-46.714,WaCo
7,Avg Energy per Node (J),1.855,3.309,-1.454,WaCo
7,Avg Power per Node (mW),0.552,0.985,-0.433,WaCo
7,Radio Duty Cycle (%),4.21,5.0,-0.79,WaCo
7,Total Energy (J),55.65,99.28,-43.631,WaCo
8,Avg Energy per Node (J),1.948,3.419,-1.47,WaCo
8,Avg Power per Node (mW),0.58,1.018,-0.438,WaCo
8,Radio Duty Cycle (%),4.29,5.06,-0.77,WaCo
8,Total Energy (J),58.451,102.561,-44.109,WaCo
9,Avg Energy per Node (J),1.885,3.044,-1.158,WaCo
9,Avg Power per Node (mW),0.561,0.906,-0.345,WaCo
9,Radio Duty Cycle (%),4.24,4.82,-0.58,WaCo
9,Total Energy (J),56.552,91.306,-34.754,WaCo
10,Avg Energy per Node (J),1.858,3.44,-1.583,WaCo
10,Avg Power per Node (mW),0.553,1.024,-0.471,WaCo
10,Radio Duty Cycle (%),4.21,5.09,-0.88,WaCo
10,Total Energy (J),55.736,103.212,-47.476,WaCo
11,Avg Energy per Node (J),1.933,3.501,-1.568,WaCo
11,Avg Power per Node (mW),0.575,1.042,-0.467,WaCo
11,Radio Duty Cycle (%),4.27,5.12,-0.85,WaCo
11,Total Energy (J),57.992,105.023,-47.031,WaCo
12,Avg Energy per Node (J),1.919,3.543,-1.624,WaCo
12,Avg Power per Node (mW),0.571,1.055,-0.484,WaCo
12,Radio Duty Cycle (%),4.26,5.16,-0.9,WaCo
12,Total Energy (J),57.57,106.279,-48.709,WaCo
13,Avg Energy per Node (J),1.946,3.297,-1.351,WaCo
13,Avg Power per Node (mW),0.579,0.981,-0.402,WaCo
13,Radio Duty Cycle (%),4.27,4.96,-0.69,WaCo
13,Total Energy (J),58.38,98.911,-40.53,WaCo
14,Avg Energy per Node (J),1.97,3.554,-1.584,WaCo
14,Avg Power per Node (mW),0.587,1.058,-0.471,WaCo
14,Radio Duty Cycle (%),4.3,5.16,-0.86,WaCo
14,Total Energy (J),59.109,106.632,-47.523,WaCo
15,Avg Energy per Node (J),2.018,3.461,-1.442,WaCo
15,Avg Power per Node (mW),0.601,1.03,-0.429,WaCo
15,Radio Duty Cycle (%),4.33,5.11,-0.78,WaCo
15,Total Energy (J),60.552,103.816,-43.264,WaCo
16,Avg Energy per Node (J),1.935,3.336,-1.401,WaCo
16,Avg Power per Node (mW),0.576,0.993,-0.417,WaCo
16,Radio Duty Cycle (%),4.27,5.02,-0.75,WaCo
16,Total Energy (J),58.053,100.091,-42.038,WaCo
17,Avg Energy per Node (J),1.963,3.504,-1.541,WaCo
17,Avg Power per Node (mW),0.584,1.043,-0.459,WaCo
17,Radio Duty Cycle (%),4.29,5.12,-0.83,WaCo
17,Total Energy (J),58.885,105.116,-46.231,WaCo
18,Avg Energy per Node (J),1.982,3.451,-1.469,WaCo
18,Avg Power per Node (mW),0.59,1.027,-0.437,WaCo
18,Radio Duty Cycle (%),4.31,5.08,-0.77,WaCo
18,Total Energy (J),59.463,103.531,-44.068,WaCo
19,Avg Energy per Node (J),1.922,3.403,-1.481,WaCo
19,Avg Power per Node (mW),0.572,1.013,-0.441,WaCo
19,Radio Duty Cycle (%),4.27,5.04,-0.77,WaCo
19,Total Energy (J),57.671,102.091,-44.42,WaCo
20,Avg Energy per Node (J),1.938,3.479,-1.541,WaCo
20,Avg Power per Node (mW),0.577,1.036,-0.459,WaCo
20,Radio Duty Cycle (%),4.28,5.11,-0.83,WaCo
20,Total Energy (J),58.141,104.378,-46.236,WaCo
