seed,PDR_UL_per_node_avg(%),PDR_DL_per_node_avg(%),UL_Coverage(%),DL_Coverage(%),UL_Route_Coverage(%),DL_Route_Coverage(%),UL_delay_per_node_avg(ms),DL_delay_per_node_avg(ms),prr_parent(last)_avg
2,99.8,48.28,100.0,51.72,100.0,100.0,476.9,13.02,18.58
8,99.62,49.43,100.0,51.72,100.0,100.0,450.02,23.0,12.15
13,99.68,50.57,100.0,55.17,100.0,100.0,211.95,85.53,17.54
9,99.65,52.87,100.0,58.62,100.0,100.0,595.33,3.06,22.48
17,99.62,53.45,100.0,55.17,100.0,100.0,116.96,223.63,11.6
14,99.39,55.75,100.0,62.07,100.0,100.0,34.87,380.14,21.6
20,99.62,52.3,100.0,65.52,100.0,100.0,560.17,13.02,35.64
7,99.57,49.43,100.0,51.72,100.0,100.0,477.81,10.94,12.36
10,99.74,46.55,100.0,58.62,100.0,100.0,122.6,252.22,39.14
5,99.8,61.49,100.0,65.52,100.0,100.0,45.52,366.91,15.9
6,99.83,56.32,100.0,58.62,100.0,100.0,260.35,74.68,11.5
16,99.59,57.47,100.0,62.07,100.0,100.0,58.9,218.17,16.42
11,99.83,51.15,100.0,55.17,100.0,100.0,334.04,35.16,17.54
18,99.42,48.85,100.0,51.72,100.0,100.0,415.84,56.51,12.03
1,99.62,50.0,100.0,51.72,100.0,100.0,139.57,249.39,12.46
19,99.62,52.3,100.0,55.17,100.0,100.0,485.2,9.36,12.1
15,99.88,46.55,100.0,51.72,100.0,100.0,103.18,208.07,18.47
4,99.71,53.45,100.0,55.17,100.0,100.0,13.54,515.06,11.7
3,99.65,49.43,100.0,51.72,100.0,100.0,9.08,477.6,12.25
12,99.59,54.02,100.0,62.07,100.0,100.0,229.2,116.39,26.79
2,99.42,58.33,100.0,62.07,100.0,77.97,538.53,83.55,39.56
8,99.16,59.33,100.0,55.17,100.0,80.0,515.41,63.64,20.72
13,99.59,47.44,100.0,48.28,100.0,73.85,259.57,126.68,22.03
9,99.57,59.26,100.0,62.07,100.0,73.53,652.67,45.86,24.23
17,99.54,57.69,100.0,55.17,100.0,76.19,174.21,236.08,25.68
14,98.99,71.8,100.0,68.97,100.0,72.31,74.15,458.46,18.19
20,99.59,41.98,100.0,55.17,100.0,73.13,626.28,2.93,48.67
7,99.36,60.9,100.0,62.07,100.0,77.78,547.51,35.01,24.13
10,99.25,58.33,100.0,62.07,100.0,77.42,168.06,245.01,34.49
5,99.36,66.67,100.0,58.62,100.0,77.42,92.93,379.06,8.91
6,99.19,54.94,100.0,58.62,100.0,76.47,319.68,200.52,14.19
16,99.54,49.31,100.0,51.72,100.0,79.66,109.44,328.99,39.37
11,99.54,66.07,100.0,72.41,100.0,74.63,399.32,170.2,26.14
18,99.71,52.56,100.0,51.72,100.0,76.92,486.91,62.76,20.91
1,99.3,61.81,100.0,58.62,100.0,79.66,208.09,293.35,25.05
19,99.36,56.67,100.0,58.62,100.0,75.81,551.44,17.31,35.66
15,99.13,35.8,100.0,44.83,100.0,72.06,160.37,197.22,44.13
4,99.22,75.36,100.0,65.52,100.0,80.36,49.64,545.3,23.6
3,99.54,63.89,100.0,58.62,100.0,81.36,45.82,555.15,25.07
12,99.39,73.91,100.0,65.52,100.0,82.14,293.23,157.42,18.99
