nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%),seed
30,55.73575,1.857858,0.553,4.21,10
30,57.992346,1.933078,0.575,4.27,11
30,57.570022,1.919001,0.571,4.26,12
30,58.380479,1.946016,0.579,4.27,13
30,59.109235,1.970308,0.587,4.3,14
30,60.55187,2.018396,0.601,4.33,15
30,58.052761,1.935092,0.576,4.27,16
30,58.885177,1.962839,0.584,4.29,17
30,59.463266,1.982109,0.59,4.31,18
30,57.670957,1.922365,0.572,4.27,19
30,59.131594,1.971053,0.587,4.3,1
30,58.141367,1.938046,0.577,4.28,20
30,60.041393,2.00138,0.596,4.32,2
30,57.464075,1.915469,0.57,4.26,3
30,57.812348,1.927078,0.574,4.27,4
30,57.041259,1.901375,0.566,4.25,5
30,57.892048,1.929735,0.574,4.27,6
30,55.649806,1.854994,0.552,4.21,7
30,58.451373,1.948379,0.58,4.29,8
30,56.551738,1.885058,0.561,4.24,9
