mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359653479.45,136530261.95,6026305.05,9873304.9,7968948.8,112661703.2,0.31,1.01,0.14,1.46,0.44,4.06
Sky_10,3359649185.1,122651366.5,10895453.55,5828886.1,2455982.15,103471044.7,0.57,0.47,0.13,1.17,0.35,3.65
Sky_11,3359652379.5,137724241.1,16836260.35,7703298.5,4431355.5,108753326.75,0.88,0.68,0.14,1.7,0.51,4.1
Sky_12,3359655129.75,124912058.55,12088317.6,5963823.0,2530552.85,104329365.1,0.63,0.48,0.13,1.24,0.37,3.72
Sky_13,3359651454.65,120319845.6,10909004.9,4766733.6,1850479.9,102793627.2,0.57,0.37,0.13,1.07,0.32,3.58
Sky_14,3359652484.35,125294297.0,10478782.5,7418917.6,3636824.05,103759772.85,0.55,0.62,0.13,1.3,0.39,3.73
Sky_15,3359652596.35,120174883.05,10675410.3,4809832.35,1866491.0,102823149.4,0.56,0.38,0.13,1.07,0.32,3.58
Sky_2,3359652154.3,124679188.0,10469284.9,7175041.75,3644055.6,103390805.75,0.55,0.61,0.13,1.29,0.38,3.71
Sky_3,3359655501.75,120244434.05,10636674.2,5028556.1,1940098.2,102639105.55,0.56,0.39,0.13,1.08,0.32,3.58
Sky_4,3359652526.2,122315283.05,10883747.8,5816656.65,2346749.3,103268129.3,0.57,0.46,0.13,1.16,0.35,3.64
Sky_5,3359655005.25,135637330.9,16107675.1,7247346.1,4197773.9,108084535.8,0.84,0.65,0.14,1.62,0.48,4.04
Sky_6,3359653627.9,124445635.85,12224308.2,5591620.7,2424231.15,104205475.8,0.64,0.45,0.13,1.22,0.36,3.7
Sky_7,3359654080.65,115830798.15,6143739.1,6038920.8,3513761.45,100134376.8,0.32,0.54,0.13,0.99,0.29,3.45
Sky_8,3359651872.35,119843778.05,10824726.55,4563974.05,1813767.55,102641309.9,0.57,0.36,0.13,1.06,0.31,3.57
Sky_9,3359650395.5,116554011.95,6005752.9,6565438.7,3726363.8,100256456.55,0.31,0.58,0.13,1.02,0.3,3.47
AVG,3359652791.5366664,124477160.91666667,10747029.533333333,6292823.393333333,3223162.3466666657,104214145.64333333,0.5619999999999999,0.5366666666666667,0.13199999999999998,1.23,0.366,3.705333333333334
