mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359682967,136478064,5994057,10139229,8266107,112078671,0.31289,1.038061,0.143237,1.494187,0.445,4.06
Sky_10,3359693597,123017374,11772430,5141723,2274463,103828758,0.614521,0.418273,0.132693,1.165487,0.347,3.66
Sky_11,3359681944,138404563,16299613,8748652,4862511,108493787,0.85084,0.76767,0.138655,1.757164,0.523,4.12
Sky_12,3359681248,129088112,13542803,6703657,3080403,105761249,0.706934,0.551821,0.135163,1.393918,0.415,3.84
Sky_13,3359692687,118737000,11077742,3967038,1438670,102253550,0.578258,0.304882,0.13068,1.01382,0.302,3.53
Sky_14,3359699383,124019891,10502836,6551829,3367486,103597740,0.548248,0.559449,0.132398,1.240095,0.369,3.69
Sky_15,3359686321,119728319,9863128,3767691,2222365,103875135,0.514855,0.337839,0.132752,0.985447,0.293,3.56
Sky_2,3359697663,124628092,11405827,6692461,2921612,103608192,0.595384,0.542234,0.132411,1.270029,0.378,3.71
Sky_3,3359706657,121616121,10922751,5809412,2138000,102745958,0.570168,0.448234,0.131309,1.149711,0.342,3.62
Sky_4,3359705234,120818125,9448251,6054865,2802853,102512156,0.493199,0.499575,0.131011,1.123785,0.334,3.6
Sky_5,3359691975,137288756,17654695,6678972,4328162,108626927,0.921575,0.620802,0.138825,1.681203,0.5,4.09
Sky_6,3359706627,127351854,13473473,6619655,2470759,104787967,0.703315,0.512699,0.133919,1.349934,0.402,3.79
Sky_7,3359686101,116100038,6072465,5438641,4045685,100543247,0.316983,0.534916,0.128494,0.980393,0.292,3.46
Sky_8,3359697616,122432558,13244083,4389733,1341132,103457610,0.691341,0.323221,0.132219,1.146781,0.341,3.64
Sky_9,3359680697,121014680,5932291,9363957,4650642,101067790,0.309666,0.790423,0.129165,1.229254,0.366,3.6
