node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,71.4,0,0,0,0,,,,0,0,0,0,0,,,,,0,0,,,0,,
02:00,96.0,96.0,88.65,119,117,119,119,98.32,98.32,98.32,1,6,6,6,6,100.0,100.0,100.0,100.0,1,117,60.64,473.76,6,5.67,44.27
03:00,98.0,98.0,97.93,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,39.84,311.25,6,43.67,341.15
04:00,99.0,69.0,95.15,119,118,119,119,99.16,99.16,99.16,1,6,6,6,6,100.0,100.0,100.0,100.0,1,118,79.39,620.23,6,3.0,23.44
05:00,68.0,73.0,83.17,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,0.62,4.86,6,82.33,643.23
06:00,99.0,64.0,96.43,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,60.45,472.23,6,0.0,0.0
07:00,100.0,76.0,88.2,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,20.19,157.76,5,14.8,115.62
08:00,98.0,97.0,97.57,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,72.87,569.26,5,0.0,0.0
09:00,100.0,70.0,86.46,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,1.39,10.83,5,59.4,464.06
10:00,100.0,59.0,93.27,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,0.82,6.43,5,42.6,332.81
11:00,100.0,77.0,83.08,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,0.35,2.76,5,103.0,804.69
12:00,100.0,65.0,94.75,119,118,119,119,99.16,99.16,99.16,1,5,5,5,5,100.0,100.0,100.0,100.0,1,118,83.92,655.59,5,0.0,0.0
13:00,98.0,96.0,97.61,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,28.98,226.43,5,18.6,145.31
14:00,98.0,98.0,90.08,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,52.14,407.37,5,9.6,75.0
15:00,99.0,99.0,99.42,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,3.61,28.23,5,44.8,350.0
