seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,30.0,39.259741,1.308658,0.39,3.73
11,30.0,42.05034,1.401678,0.417,3.8
12,30.0,40.628469,1.354282,0.403,3.77
13,30.0,40.742059,1.358069,0.404,3.76
14,30.0,42.138295,1.40461,0.418,3.8
15,30.0,41.725658,1.390855,0.414,3.79
16,30.0,41.259688,1.375323,0.409,3.78
17,30.0,40.555769,1.351859,0.402,3.77
18,30.0,41.366996,1.3789,0.41,3.78
19,30.0,40.590668,1.353022,0.403,3.77
1,30.0,41.38268,1.379423,0.411,3.79
20,30.0,40.685852,1.356195,0.404,3.77
2,30.0,43.272823,1.442427,0.429,3.83
3,30.0,41.126349,1.370878,0.408,3.78
4,30.0,41.040572,1.368019,0.407,3.78
5,30.0,40.364455,1.345482,0.401,3.76
6,30.0,41.38049,1.37935,0.411,3.79
7,30.0,39.478631,1.315954,0.392,3.74
8,30.0,42.540751,1.418025,0.422,3.82
9,30.0,40.234894,1.341163,0.399,3.76
AVG,30.0,41.091258999999994,1.3697086,0.4077,3.7784999999999997
