seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms)
10,95.21,87.1,89.41,96.99,96.99,96.99,96.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.69,239.76,239.76,62.29,486.62,486.62
11,95.76,87.69,88.64,96.15,96.15,96.15,96.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.31,510.23,510.23,29.55,230.87,230.87
12,94.55,86.14,88.4,97.02,97.02,97.02,97.02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.16,384.09,384.09,34.17,266.93,266.93
13,93.93,87.55,88.99,96.44,96.44,96.44,96.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.27,384.92,384.92,31.87,249.01,249.01
14,94.76,90.17,89.33,96.12,96.12,96.12,96.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.7,114.81,114.81,90.64,708.15,708.15
15,95.59,88.21,89.58,96.41,96.41,96.41,96.41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31.05,242.55,242.55,55.74,435.44,435.44
16,95.48,87.79,88.16,96.61,96.61,96.61,96.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.5,183.61,183.61,73.57,574.76,574.76
17,94.41,87.38,88.48,96.73,96.73,96.73,96.73,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.4,229.69,229.69,67.47,527.12,527.12
18,93.86,86.52,89.45,95.77,95.77,95.77,95.77,100.0,100.0,98.85,98.85,98.85,98.85,100.0,100.0,76.48,597.5,597.5,28.66,223.87,223.87
19,94.59,85.86,88.96,96.78,96.78,96.78,96.78,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.14,688.58,688.58,17.51,136.76,136.76
1,96.59,87.07,90.01,95.76,95.76,95.76,95.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,34.57,270.09,270.09,70.19,548.36,548.36
20,94.79,87.17,88.05,96.26,96.26,96.26,96.26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.86,756.7,756.7,18.72,146.28,146.28
2,93.66,87.66,88.93,95.37,95.37,95.37,95.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.11,688.39,688.39,35.86,280.13,280.13
3,95.17,85.86,89.25,96.06,96.06,96.06,96.06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.67,67.72,67.72,101.52,793.15,793.15
4,94.41,87.1,89.74,96.21,96.21,96.21,96.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.5,74.23,74.23,102.63,801.81,801.81
5,96.1,86.62,89.71,96.99,96.99,96.99,96.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.2,134.34,134.34,90.11,703.98,703.98
6,95.34,86.0,89.62,96.12,96.12,96.12,96.12,100.0,100.0,98.85,98.85,98.85,98.85,100.0,100.0,54.61,426.66,426.66,46.65,364.49,364.49
7,95.24,86.86,88.79,97.13,97.13,97.13,97.13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.65,684.73,684.73,34.93,272.85,272.85
8,94.59,87.07,88.73,96.84,96.84,96.84,96.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.71,661.83,661.83,32.09,250.72,250.72
9,94.31,88.79,88.06,96.9,96.9,96.9,96.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.67,794.32,794.32,17.59,137.39,137.39
AVG,94.91699999999999,87.23049999999998,89.0145,96.433,96.433,96.433,96.433,100.0,100.0,99.88499999999999,99.88499999999999,99.88499999999999,99.88499999999999,100.0,100.0,52.0625,406.7375,406.7375,52.08799999999999,406.9345,406.9345
