node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,68.07,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,
02:00,91.9,93.85,91.9,115.9,112.2,115.9,115.9,96.85,96.85,96.85,1.0,2.95,2.9,2.95,2.95,98.33,98.33,98.33,98.33,1.0,112.2,50.2,392.19,2.9,62.36,487.17
03:00,92.7,87.4,86.49,115.9,112.75,115.9,115.9,97.22,97.22,97.22,1.0,2.95,2.95,2.95,2.95,100.0,100.0,100.0,100.0,1.0,112.9,65.84,514.34,2.95,66.87,522.4
04:00,92.45,92.1,91.61,115.9,112.2,115.9,115.9,96.85,96.85,96.85,1.0,2.95,2.95,2.95,2.95,100.0,100.0,100.0,100.0,1.0,112.2,64.28,502.23,2.95,70.2,548.44
05:00,97.1,97.1,97.26,115.9,112.5,115.9,115.9,97.05,97.05,97.05,1.0,2.95,2.9,2.95,2.95,98.33,98.33,98.33,98.33,1.0,112.5,65.0,507.84,2.9,58.28,455.34
06:00,92.95,92.85,92.42,115.9,111.65,115.9,115.9,96.34,96.34,96.34,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.7,55.97,437.26,2.9,58.43,456.51
07:00,87.4,88.65,84.4,115.9,112.75,115.9,115.9,97.26,97.26,97.26,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,112.75,60.16,470.03,2.9,52.03,406.51
08:00,96.0,73.9,82.83,115.9,111.75,115.9,115.9,96.24,96.24,96.24,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.75,34.89,272.56,2.9,51.77,404.43
09:00,87.0,87.55,83.43,115.9,112.2,115.9,115.9,96.76,96.76,96.76,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,112.2,61.12,477.46,2.9,55.0,429.69
10:00,92.55,92.85,91.96,115.9,112.9,115.9,115.9,97.34,97.34,97.34,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,112.9,35.36,276.21,2.9,99.18,774.87
11:00,91.85,93.4,89.94,115.85,111.3,115.85,115.85,96.08,96.08,96.08,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.3,53.31,416.45,2.9,61.3,478.91
12:00,96.4,77.9,86.06,115.9,110.65,115.9,115.9,95.45,95.45,95.45,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,110.65,59.92,468.1,2.9,30.93,241.67
13:00,99.45,77.4,82.09,115.85,112.75,115.85,115.85,97.4,97.4,97.4,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,112.75,47.02,367.38,2.9,29.78,232.68
14:00,97.6,75.25,85.53,115.9,111.7,115.9,115.9,96.47,96.47,96.47,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.7,38.56,301.22,2.9,43.88,342.84
15:00,93.1,94.7,90.32,115.9,111.75,115.9,115.9,96.42,96.42,96.42,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.75,52.88,413.1,2.9,59.1,461.72
16:00,92.45,91.95,90.04,115.9,111.6,115.9,115.9,96.25,96.25,96.25,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.6,52.81,412.6,2.9,45.55,355.86
17:00,99.15,72.4,84.12,115.9,111.6,115.9,115.9,96.39,96.39,96.39,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,111.65,55.23,431.48,2.9,32.38,252.99
18:00,96.2,97.1,96.43,115.9,112.55,115.9,115.9,97.19,97.19,97.19,1.0,2.9,2.9,2.9,2.9,100.0,100.0,100.0,100.0,1.0,112.55,52.65,411.35,2.9,78.28,611.59
19:00,99.7,75.95,83.72,115.9,111.8,115.9,115.9,96.37,96.37,96.37,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.8,62.63,489.28,1.95,28.6,223.44
20:00,92.85,91.95,89.91,115.9,111.9,115.9,115.9,96.59,96.59,96.59,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.9,56.86,444.24,1.95,50.8,396.88
21:00,94.75,92.65,90.61,115.9,110.8,115.9,115.9,95.67,95.67,95.67,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,110.8,53.69,419.47,1.95,33.45,261.33
22:00,98.45,66.0,85.65,115.9,111.0,115.9,115.9,95.7,95.7,95.7,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.0,53.71,419.62,1.95,40.9,319.53
23:00,99.1,74.0,83.2,115.9,112.65,115.9,115.9,97.22,97.22,97.22,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,112.65,38.97,304.44,1.95,40.25,314.45
24:00,98.15,71.9,85.26,115.85,110.95,115.85,115.85,95.65,95.65,95.65,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,110.95,46.46,362.98,1.95,42.08,328.71
25:00,93.5,94.2,90.18,115.9,111.75,115.9,115.9,96.38,96.38,96.38,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.75,52.2,407.83,1.95,54.82,428.32
26:00,98.9,98.3,98.16,115.9,110.4,115.9,115.9,95.29,95.29,95.29,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,110.4,43.38,338.92,1.95,45.62,356.44
27:00,94.5,93.5,89.62,115.9,111.05,115.9,115.9,95.74,95.74,95.74,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.05,63.34,494.83,1.95,35.62,278.32
28:00,95.05,91.55,89.85,115.9,112.05,115.9,115.9,96.72,96.72,96.72,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,112.05,47.8,373.4,1.95,60.95,476.17
29:00,92.3,95.35,89.87,115.9,111.15,115.9,115.9,95.83,95.83,95.83,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.15,49.85,389.49,1.95,46.45,362.89
30:00,99.1,98.0,98.58,115.9,111.3,115.9,115.9,95.82,95.82,95.82,1.0,1.95,1.95,1.95,1.95,100.0,100.0,100.0,100.0,1.0,111.3,35.72,279.05,1.95,75.65,591.02
