mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359676629.45,190100777.95,4666247.5,25157121.9,21064394.3,139213014.25,0.24,2.61,0.18,3.03,0.9,5.66
Sky_10,3359672335.1,116750657.5,6729905.1,6321900.85,2935425.25,100763426.3,0.35,0.52,0.13,1.0,0.3,3.47
Sky_11,3359675529.5,117740103.65,7054509.0,6641364.3,3035287.45,101008942.9,0.37,0.55,0.13,1.04,0.31,3.5
Sky_12,3359678279.75,142177599.45,18646971.85,9476827.6,5258381.85,108795418.15,0.97,0.83,0.14,1.94,0.58,4.23
Sky_13,3359674604.65,130908225.4,8289344.05,11815739.6,7518412.15,103284729.6,0.43,1.09,0.13,1.66,0.49,3.9
Sky_14,3359675634.35,145692000.7,20491761.5,10006897.55,5410714.5,109782627.15,1.07,0.87,0.14,2.08,0.62,4.34
Sky_15,3359675746.35,118320349.4,7073523.45,6863487.1,3195206.7,101188132.15,0.37,0.57,0.13,1.07,0.32,3.52
Sky_16,3359676478.1,121213016.2,7438956.65,8071733.0,4147244.6,101555081.95,0.39,0.69,0.13,1.21,0.36,3.61
Sky_17,3359675853.0,133172772.75,12933868.7,9248756.7,5718388.5,105271758.85,0.68,0.84,0.13,1.65,0.49,3.96
Sky_18,3359674994.8,112129420.9,7995267.5,2809109.75,1484322.65,99840721.0,0.42,0.24,0.13,0.79,0.23,3.34
Sky_19,3359676413.0,133533406.0,12891234.15,9514835.45,5834533.9,105292802.5,0.67,0.87,0.13,1.67,0.5,3.98
Sky_2,3359675304.3,119641448.85,8189462.15,6710100.7,3155343.65,101586542.35,0.43,0.56,0.13,1.11,0.33,3.56
Sky_20,3359674230.25,121287801.6,7675509.25,7982018.8,4264525.05,101365748.5,0.4,0.69,0.13,1.22,0.36,3.61
Sky_21,3359678617.9,117670120.95,6933442.55,6590628.6,3089229.0,101056820.8,0.36,0.55,0.13,1.04,0.31,3.5
Sky_22,3359675621.0,143924238.25,22319443.05,7580773.4,4075987.95,109948033.85,1.17,0.66,0.14,1.96,0.58,4.28
Sky_23,3359675442.9,136807888.3,14496543.1,9660121.05,6323733.55,106327490.6,0.76,0.9,0.14,1.79,0.53,4.07
Sky_24,3359674339.4,139954804.9,19897449.3,7353905.2,3963552.65,108739897.75,1.04,0.64,0.14,1.82,0.54,4.17
Sky_25,3359676661.8,116983771.85,6860625.55,6385207.55,2977281.65,100760657.1,0.36,0.53,0.13,1.01,0.3,3.48
Sky_26,3359676434.75,110332919.75,5298358.5,4400228.25,1859783.8,98774549.2,0.28,0.35,0.13,0.76,0.22,3.28
Sky_27,3359673803.3,117981600.15,7031271.9,6832724.8,3065216.2,101052387.25,0.37,0.56,0.13,1.05,0.31,3.51
Sky_28,3359676094.95,121172380.15,7276141.15,7938060.75,4264910.35,101693267.9,0.38,0.69,0.13,1.2,0.36,3.61
Sky_29,3359674975.4,117032288.7,6997306.95,6441882.1,2887399.8,100705699.85,0.37,0.53,0.13,1.02,0.3,3.48
Sky_3,3359678651.75,115966425.85,5427708.2,7099942.4,3780448.45,99658326.8,0.28,0.61,0.13,1.02,0.3,3.45
Sky_30,3359675609.6,109723334.05,5205516.45,4229148.1,1705992.25,98582677.25,0.27,0.33,0.13,0.73,0.22,3.27
Sky_4,3359675676.2,117607646.1,7411036.45,6439362.75,2975624.35,100781622.55,0.39,0.53,0.13,1.05,0.31,3.5
Sky_5,3359678155.25,112101778.25,8185984.1,3002804.65,1160589.95,99752399.55,0.43,0.23,0.13,0.79,0.23,3.34
Sky_6,3359676777.9,115346552.1,6313101.9,6009818.9,2788607.55,100235023.75,0.33,0.5,0.13,0.95,0.28,3.43
Sky_7,3359677230.65,128475453.1,9035107.25,9705674.45,5449356.7,104285314.7,0.47,0.85,0.13,1.46,0.43,3.82
Sky_8,3359675022.35,156043637.0,26723667.8,9811169.15,6302483.15,113206316.9,1.39,0.91,0.14,2.45,0.73,4.64
Sky_9,3359673545.5,129402400.25,9427210.9,10231853.85,5435236.35,104308099.15,0.49,0.88,0.13,1.51,0.45,3.85
AVG,3359675823.1066666,126973160.66833332,10163882.531666666,8011106.641666667,4504253.808333334,104293917.68666668,0.531,0.7060000000000001,0.13366666666666666,1.3693333333333335,0.4063333333333333,3.7786666666666666
