node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,68.85,0,0,0,0,,,,0,0,0,0,0,,,,,0,0,,,0,,
02:00,94.0,98.0,94.96,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,100.0,1,118,89.68,700.61,3,14.33,111.98
03:00,96.0,86.0,89.64,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,41.55,324.63,3,67.33,526.04
04:00,92.0,93.0,93.22,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,61.55,480.87,3,83.33,651.04
05:00,95.0,96.0,97.44,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,4.41,34.44,3,118.67,927.08
06:00,89.0,98.0,91.35,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,18.56,145.0,3,74.33,580.73
07:00,84.0,89.0,83.11,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,100.0,1,118,4.61,36.02,3,76.0,593.75
08:00,99.0,57.0,83.55,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,41.51,324.29,3,21.67,169.27
09:00,91.0,91.0,83.59,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,16.3,127.31,3,59.33,463.54
10:00,97.0,96.0,93.27,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,100.0,1,118,3.8,29.66,3,90.33,705.73
11:00,99.0,90.0,90.9,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,74.92,585.33,3,31.33,244.79
12:00,100.0,91.0,87.66,119,117,119,119,98.32,98.32,98.32,1,3,3,3,3,100.0,100.0,100.0,100.0,1,117,3.29,25.71,3,49.67,388.02
13:00,100.0,86.0,84.82,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,68.17,532.6,3,0.0,0.0
14:00,100.0,65.0,87.32,119,112,119,119,94.12,94.12,94.12,1,3,3,3,3,100.0,100.0,100.0,100.0,1,112,1.79,13.95,3,122.33,955.73
15:00,91.0,91.0,92.06,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,13.9,108.62,3,62.0,484.38
16:00,87.0,88.0,90.99,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,100.0,1,118,3.82,29.86,3,105.33,822.92
17:00,100.0,85.0,83.51,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,100.0,1,119,69.61,543.79,3,13.0,101.56
18:00,97.0,98.0,98.83,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,7.32,57.15,3,139.33,1088.54
19:00,100.0,78.0,85.83,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,38.65,301.93,2,5.5,42.97
20:00,99.0,99.0,91.86,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,37.51,293.04,2,30.0,234.38
21:00,98.0,89.0,90.34,119,117,119,119,98.32,98.32,98.32,1,2,2,2,2,100.0,100.0,100.0,100.0,1,117,61.9,483.57,2,0.0,0.0
22:00,99.0,66.0,85.84,119,111,119,119,93.28,93.28,93.28,1,2,2,2,2,100.0,100.0,100.0,100.0,1,111,55.01,429.76,2,24.5,191.41
23:00,100.0,59.0,83.92,119,117,119,119,98.32,98.32,98.32,1,2,2,2,2,100.0,100.0,100.0,100.0,1,117,1.31,10.22,2,169.5,1324.22
24:00,100.0,63.0,82.19,119,115,119,119,96.64,96.64,96.64,1,2,2,2,2,100.0,100.0,100.0,100.0,1,115,16.2,126.56,2,26.0,203.12
25:00,98.0,98.0,87.46,119,115,119,119,96.64,96.64,96.64,1,2,2,2,2,100.0,100.0,100.0,100.0,1,115,5.81,45.38,2,137.5,1074.22
26:00,100.0,100.0,97.63,119,112,119,119,94.12,94.12,94.12,1,2,2,2,2,100.0,100.0,100.0,100.0,1,112,52.95,413.64,2,0.0,0.0
27:00,85.0,85.0,89.78,119,113,119,119,94.96,94.96,94.96,1,2,2,2,2,100.0,100.0,100.0,100.0,1,113,27.01,211.01,2,31.5,246.09
28:00,89.0,96.0,89.08,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,2.93,22.9,2,108.0,843.75
29:00,82.0,99.0,86.39,119,114,119,119,95.8,95.8,95.8,1,2,2,2,2,100.0,100.0,100.0,100.0,1,114,3.04,23.71,2,118.0,921.88
30:00,100.0,96.0,96.42,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,62.9,491.38,2,27.5,214.84
