mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359675706,186011304,4724010,23493482,19854921,137938891,0.246593,2.44485,0.176286,2.867729,0.854,5.54
Sky_10,3359691353,117550769,8189226,5865853,2508191,100987499,0.427478,0.472296,0.129062,1.028836,0.306,3.5
Sky_11,3359703799,116742105,7638422,5889417,2511302,100702964,0.398726,0.473801,0.128698,1.001225,0.298,3.47
Sky_12,3359703305,134076160,11751977,11192643,5914079,105217461,0.613453,0.964819,0.134468,1.71274,0.51,3.99
Sky_13,3359699394,136248948,12073548,12265343,6778107,105131950,0.630239,1.074051,0.134359,1.838648,0.547,4.06
Sky_14,3359700144,141724415,17563020,10751614,5698085,107711696,0.91679,0.927763,0.137656,1.982208,0.59,4.22
Sky_15,3359692151,117710026,7665092,6428556,2786593,100829785,0.400118,0.519734,0.12886,1.048713,0.312,3.5
Sky_16,3359702508,121011974,8117803,7986115,3627741,101280315,0.423749,0.655021,0.129436,1.208207,0.36,3.6
Sky_17,3359703648,133339857,11116495,10879477,6494661,104849224,0.580281,0.979901,0.133997,1.69418,0.504,3.97
Sky_18,3359692373,112862443,7953004,3187867,1621205,100100367,0.415147,0.271232,0.127928,0.814307,0.242,3.36
Sky_19,3359701714,136318670,11818164,11746054,7431838,105322614,0.616908,1.081633,0.134602,1.833144,0.546,4.06
Sky_2,3359687564,117970421,7373373,6743820,2913515,100939713,0.38489,0.544674,0.129001,1.058565,0.315,3.51
Sky_20,3359677878,120950282,8107083,6806865,4672611,101363723,0.42319,0.647442,0.129543,1.200175,0.357,3.6
Sky_21,3359690877,118315841,7689324,6659423,2947226,101019868,0.401383,0.541815,0.129103,1.072301,0.319,3.52
Sky_22,3359694582,142069788,20340262,8094030,4399248,109236248,1.061762,0.704621,0.139604,1.905986,0.567,4.23
Sky_23,3359700056,140901276,16837995,10284353,6109066,107669862,0.878943,0.924589,0.137602,1.941134,0.578,4.19
Sky_24,3359676473,140028705,19870590,7472652,4219444,108466019,1.037245,0.659434,0.13862,1.835299,0.546,4.17
Sky_25,3359690994,115966041,7198295,5869272,2525952,100372522,0.375751,0.473491,0.128276,0.977518,0.291,3.45
Sky_26,3359704329,111558151,5359998,4755127,2172189,99270837,0.279792,0.390701,0.126868,0.797361,0.237,3.32
Sky_27,3359684298,116343651,7424987,6006977,2428909,100482778,0.387584,0.475784,0.128417,0.991785,0.295,3.46
Sky_28,3359686636,118000824,6846632,6838232,3591622,100724338,0.357394,0.588244,0.128726,1.074364,0.32,3.51
Sky_29,3359697874,117672684,6556356,7550061,3117113,100449154,0.342242,0.601629,0.128374,1.072244,0.319,3.5
Sky_3,3359704339,115818947,5146305,7225316,3741078,99706248,0.268637,0.618505,0.127425,1.014566,0.302,3.45
Sky_30,3359696709,110172058,5295468,4484943,1854940,98536707,0.276423,0.357569,0.12593,0.759923,0.226,3.28
Sky_4,3359681712,115995982,7101503,5141363,2743946,101009170,0.370698,0.444731,0.12909,0.94452,0.281,3.45
Sky_5,3359691577,112042804,7712697,3418247,1267691,99644169,0.402603,0.264287,0.127345,0.794235,0.236,3.33
Sky_6,3359697174,113413107,5671765,5462717,2407946,99870679,0.296066,0.443905,0.127635,0.867606,0.258,3.38
Sky_7,3359696157,128543422,9360457,9892890,5484679,103805396,0.488616,0.867295,0.132663,1.488574,0.443,3.83
Sky_8,3359692177,155670875,27371312,9304877,5348251,113646435,1.428782,0.826436,0.14524,2.400459,0.714,4.63
Sky_9,3359699570,128058674,8323936,11219479,5615475,102899784,0.434509,0.949491,0.131506,1.515507,0.451,3.81
