seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms)
10,95.76,87.69,88.96,96.52,96.52,96.52,96.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.9,233.57,233.57,57.5,449.22,449.22
11,95.31,86.38,89.65,96.32,96.32,96.32,96.32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.67,513.02,513.02,24.75,193.34,193.34
12,93.66,87.86,89.27,97.16,97.16,97.16,97.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.14,383.92,383.92,44.6,348.42,348.42
13,96.03,87.83,88.64,96.84,96.84,96.84,96.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.31,393.05,393.05,35.7,278.87,278.87
14,95.41,87.31,89.06,96.15,96.15,96.15,96.15,100.0,100.0,98.85,98.85,98.85,98.85,100.0,100.0,14.6,114.08,114.08,94.72,739.99,739.99
15,94.83,88.86,89.45,96.29,96.29,96.29,96.29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31.53,246.33,246.33,61.48,480.33,480.33
16,96.07,88.55,89.24,96.67,96.67,96.67,96.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.4,182.8,182.8,72.21,564.16,564.16
17,95.28,88.14,88.98,96.41,96.41,96.41,96.41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.21,228.24,228.24,76.53,597.88,597.88
18,95.45,87.59,88.98,96.29,96.29,96.29,96.29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.96,593.44,593.44,23.51,183.64,183.64
19,94.45,88.34,88.82,96.21,96.21,96.21,96.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.64,684.68,684.68,15.56,121.54,121.54
1,95.48,87.17,89.66,96.41,96.41,96.41,96.41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.63,262.74,262.74,50.38,393.63,393.63
20,96.31,86.38,89.57,96.81,96.81,96.81,96.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.82,756.41,756.41,10.64,83.11,83.11
2,95.62,88.72,89.59,96.26,96.26,96.26,96.26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.01,679.74,679.74,18.83,147.09,147.09
3,95.31,85.9,89.61,96.15,96.15,96.15,96.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.64,67.47,67.47,107.05,836.3,836.3
4,94.86,87.21,89.96,96.35,96.35,96.35,96.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.89,69.44,69.44,99.49,777.3,777.3
5,95.34,88.31,89.93,97.28,97.28,97.28,97.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.7,130.5,130.5,83.39,651.49,651.49
6,94.9,86.52,90.01,96.81,96.81,96.81,96.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.29,431.95,431.95,39.53,308.82,308.82
7,95.28,86.69,89.01,96.5,96.5,96.5,96.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.75,677.71,677.71,11.34,88.63,88.63
8,95.79,89.1,89.46,96.5,96.5,96.5,96.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.27,650.58,650.58,18.56,145.03,145.03
9,94.41,86.03,89.11,97.1,97.1,97.1,97.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.45,792.55,792.55,11.15,87.1,87.1
AVG,95.2775,87.529,89.34799999999998,96.55149999999999,96.55149999999999,96.55149999999999,96.55149999999999,100.0,100.0,99.9425,99.9425,99.9425,99.9425,100.0,100.0,51.790499999999994,404.611,404.611,47.846,373.79449999999997,373.79449999999997
