node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,68.89,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,
02:00,92.95,91.05,91.85,119.0,114.45,119.0,119.0,96.18,96.18,96.18,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,114.45,49.08,383.46,3.0,61.2,478.13
03:00,95.25,87.35,87.76,119.0,115.15,119.0,119.0,96.77,96.77,96.77,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.15,65.62,512.63,3.0,36.62,286.07
04:00,92.25,92.95,92.02,119.0,114.95,119.0,119.0,96.6,96.6,96.6,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,114.95,64.63,504.93,3.0,63.25,494.14
05:00,97.95,97.5,97.84,119.0,115.35,119.0,119.0,96.93,96.93,96.93,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.4,64.53,504.16,3.0,60.87,475.52
06:00,92.7,92.8,92.07,119.0,115.2,119.0,119.0,96.81,96.81,96.81,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.2,56.12,438.47,3.0,42.02,328.26
07:00,86.4,88.6,84.13,119.0,114.95,119.0,119.0,96.6,96.6,96.6,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,114.95,59.64,465.96,3.0,37.42,292.32
08:00,97.4,81.4,84.17,119.0,115.85,119.0,119.0,97.35,97.35,97.35,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.85,35.13,274.45,3.0,51.02,398.57
09:00,85.85,88.7,84.44,119.0,115.6,119.0,119.0,97.14,97.14,97.14,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.6,60.68,474.1,3.0,59.55,465.23
10:00,92.95,93.0,92.32,119.0,115.6,119.0,119.0,97.14,97.14,97.14,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.6,34.3,268.0,3.0,66.58,520.18
11:00,93.75,93.95,90.24,119.0,115.4,119.0,119.0,96.98,96.98,96.98,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.4,52.03,406.45,3.0,61.88,483.46
12:00,98.4,70.95,86.39,119.0,115.2,119.0,119.0,96.81,96.81,96.81,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.2,60.16,470.01,3.0,31.77,248.18
13:00,99.7,79.25,83.01,119.0,116.3,119.0,119.0,97.73,97.73,97.73,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,116.3,46.68,364.69,3.0,38.77,302.86
14:00,98.3,72.9,86.91,119.0,115.35,119.0,119.0,96.93,96.93,96.93,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.35,38.62,301.7,3.0,35.23,275.26
15:00,94.2,94.35,90.78,119.0,114.45,119.0,119.0,96.18,96.18,96.18,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,114.45,51.79,404.61,3.0,46.42,362.63
16:00,92.5,91.7,90.5,119.0,114.7,119.0,119.0,96.39,96.39,96.39,1.0,3.0,2.95,3.0,3.0,98.33,98.33,98.33,100.0,1.0,114.75,52.32,408.72,2.95,39.92,311.91
17:00,97.0,70.35,83.55,119.0,114.2,119.0,119.0,95.97,95.97,95.97,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,114.2,54.99,429.62,3.0,36.73,286.98
18:00,96.6,96.35,96.45,119.0,115.1,119.0,119.0,96.72,96.72,96.72,1.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,1.0,115.15,52.64,411.22,3.0,56.98,445.18
19:00,99.35,72.6,83.6,119.0,115.5,119.0,119.0,97.06,97.06,97.06,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,115.5,62.32,486.91,2.0,37.2,290.62
20:00,95.25,90.2,89.61,119.0,115.45,119.0,119.0,97.02,97.02,97.02,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,115.45,56.94,444.83,2.0,48.02,375.2
21:00,94.05,94.8,90.66,119.0,113.65,119.0,119.0,95.51,95.51,95.51,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,113.65,53.77,420.07,2.0,45.98,359.18
22:00,98.9,75.6,86.09,119.0,113.8,119.0,119.0,95.63,95.63,95.63,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,113.8,54.67,427.12,2.0,39.65,309.77
23:00,99.35,76.1,84.03,119.0,114.6,119.0,119.0,96.3,96.3,96.3,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,114.6,39.97,312.27,2.0,37.25,291.02
24:00,98.05,74.35,85.77,119.0,114.7,119.0,119.0,96.39,96.39,96.39,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,114.7,46.0,359.38,2.0,53.75,419.92
25:00,93.6,94.25,90.38,119.0,114.85,119.0,119.0,96.51,96.51,96.51,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,114.85,51.12,399.4,2.0,39.83,311.13
26:00,98.35,97.75,98.03,119.0,113.55,119.0,119.0,95.42,95.42,95.42,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,113.55,43.43,339.28,2.0,49.38,385.74
27:00,93.8,95.35,90.32,119.0,115.05,119.0,119.0,96.68,96.68,96.68,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,115.05,63.06,492.67,2.0,29.72,232.23
28:00,95.9,91.2,89.91,119.0,114.15,119.0,119.0,95.93,95.93,95.93,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,114.15,46.91,366.5,2.0,58.9,460.16
29:00,93.75,95.05,89.97,119.0,114.5,119.0,119.0,96.22,96.22,96.22,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,114.5,48.55,379.32,2.0,44.32,346.29
30:00,98.55,97.95,98.3,119.0,114.35,119.0,119.0,96.09,96.09,96.09,1.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,100.0,1.0,114.35,36.2,282.82,2.0,77.3,603.9
AVG,95.27758620689656,87.52931034482758,88.66633333333334,115.03333333333333,111.06500000000001,115.03333333333333,115.03333333333333,96.55137931034481,96.55137931034481,96.55137931034481,0.9666666666666667,2.5,2.4983333333333335,2.5,2.5,99.94241379310344,99.94241379310344,99.94241379310344,100.0,0.9666666666666667,111.07000000000001,51.789655172413795,404.61206896551727,2.4983333333333335,47.845862068965516,373.79448275862063
