node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
02:00,8.45,100.0,64.99,119,119,100.0,6,6,100.0,8.45,119,0.56,4.4,6,35.17,274.74
03:00,8.45,99.15,64.8,119,118,99.16,6,6,100.0,8.45,118,0.0,0.0,6,79.33,619.79
04:00,8.45,98.3,65.79,119,117,98.32,6,6,100.0,8.45,117,0.0,0.0,6,92.5,722.66
05:00,8.77,100.0,66.26,119,119,100.0,6,6,100.0,8.77,119,0.0,0.0,6,108.0,843.75
06:00,8.77,100.0,66.52,119,119,100.0,5,5,100.0,8.77,119,0.0,0.0,5,56.6,442.19
07:00,8.77,100.0,67.05,119,119,100.0,5,5,100.0,8.77,119,0.0,0.0,5,51.2,400.0
08:00,8.77,100.0,67.31,119,119,100.0,5,5,100.0,8.77,119,0.0,0.0,5,118.2,923.44
09:00,8.77,100.0,67.45,119,119,100.0,5,5,100.0,8.77,119,0.0,0.0,5,100.6,785.94
10:00,8.77,100.0,67.98,119,119,100.0,5,5,100.0,8.77,119,0.0,0.0,5,78.8,615.62
11:00,8.77,100.0,68.68,119,119,100.0,5,5,100.0,8.77,119,0.0,0.0,5,123.4,964.06
12:00,8.77,100.0,69.37,119,119,100.0,5,5,100.0,8.77,119,0.02,0.13,5,41.8,326.56
13:00,8.77,99.15,68.5,119,118,99.16,5,5,100.0,8.77,118,0.0,0.0,5,103.0,804.69
14:00,8.77,99.15,69.68,119,118,99.16,5,5,100.0,8.77,118,0.63,4.9,5,32.2,251.56
15:00,8.77,98.3,69.62,119,117,98.32,5,5,100.0,8.77,117,0.0,0.0,5,129.0,1007.81
