mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359695085,123648176,3411595,11978910,6233413,102024258,0.178085,1.027175,0.130387,1.335647,0.398,3.68
Sky_10,3359687340,107813656,5432298,3644112,2130402,96606844,0.283566,0.325683,0.123464,0.732712,0.218,3.21
Sky_11,3359709662,116454992,8289468,6095323,3340160,98730041,0.43271,0.532161,0.126177,1.091048,0.325,3.47
Sky_12,3359686542,118625426,12100718,4196570,2224125,100104013,0.631657,0.362127,0.127933,1.121718,0.334,3.53
Sky_13,3359698266,105574102,5008969,2186500,1586477,96792156,0.261468,0.212796,0.1237,0.597964,0.178,3.14
Sky_14,3359684079,109751699,5395490,4779694,2998792,96577723,0.281645,0.438707,0.123426,0.843778,0.251,3.27
Sky_15,3359700947,106197980,5037786,2132169,1902172,97125853,0.262972,0.227537,0.124127,0.614636,0.183,3.16
Sky_2,3359696970,110866830,4774474,5149147,3373695,97569514,0.249228,0.480688,0.124694,0.85461,0.254,3.3
Sky_3,3359699103,107554423,4871200,2517770,2641230,97524223,0.254277,0.290968,0.124636,0.66988,0.199,3.2
Sky_4,3359691272,108943351,6194369,3834423,2120019,96794540,0.323346,0.335831,0.123703,0.78288,0.233,3.24
Sky_5,3359705134,116577304,9142497,5163442,3126631,99144734,0.477238,0.46756,0.126707,1.071505,0.319,3.47
Sky_6,3359701953,117845519,11739761,3826864,2174728,100104166,0.612816,0.33849,0.127933,1.079238,0.321,3.51
Sky_7,3359703452,107576080,6031098,2907850,1779602,96857530,0.314823,0.264372,0.123784,0.70298,0.209,3.2
Sky_8,3359683539,104100352,4450218,2357943,1338775,95953416,0.232301,0.208495,0.122628,0.563425,0.168,3.1
Sky_9,3359709662,109588972,5321024,4730321,3019080,96518547,0.277757,0.437066,0.123351,0.838174,0.249,3.26
