mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359674612.2,143952174.65,2852783.35,20327016.0,13267141.85,107505233.45,0.15,1.89,0.14,2.18,0.65,4.28
Sky_10,3359668271.95,114419431.6,4691865.55,7392978.45,4561859.6,97772728.0,0.24,0.67,0.12,1.04,0.31,3.41
Sky_11,3359674773.5,118050960.2,6019842.5,8569724.85,5169377.85,98292015.0,0.31,0.77,0.13,1.21,0.36,3.51
Sky_12,3359672700.6,127475128.95,6337759.05,12675259.65,8078586.4,100383523.85,0.33,1.17,0.13,1.63,0.49,3.79
Sky_13,3359676488.75,131065259.5,6982397.45,14082876.95,8980851.35,101019133.75,0.36,1.3,0.13,1.79,0.53,3.9
Sky_14,3359674751.65,134492538.7,10800462.9,13345783.55,7808421.5,102537870.75,0.56,1.19,0.13,1.89,0.56,4.0
Sky_15,3359674866.95,119668469.6,7099734.35,8496224.55,5153948.85,98918561.85,0.37,0.77,0.13,1.27,0.38,3.56
Sky_16,3359672476.0,118846471.05,5900975.95,9088729.9,5532076.15,98324689.05,0.31,0.82,0.13,1.26,0.37,3.54
Sky_17,3359671768.55,124915246.8,5180007.4,12039933.15,8038778.0,99656528.25,0.27,1.13,0.13,1.53,0.46,3.72
Sky_18,3359676921.7,110385357.75,4837887.25,5421536.45,3142735.05,96983199.0,0.25,0.48,0.12,0.86,0.26,3.28
Sky_19,3359673750.7,124676775.35,5070643.65,12242914.4,7824888.55,99538328.75,0.26,1.13,0.13,1.52,0.45,3.71
Sky_2,3359673881.9,114799048.15,4699162.25,7913179.5,4635551.7,97551154.7,0.25,0.71,0.12,1.08,0.32,3.42
Sky_20,3359673093.6,118497649.95,5582971.95,8863063.55,5717528.85,98334085.6,0.29,0.82,0.13,1.24,0.37,3.53
Sky_21,3359672062.5,115415386.6,6700676.75,6485192.05,4105406.9,98124110.9,0.35,0.6,0.13,1.07,0.32,3.44
Sky_22,3359670077.8,119070832.85,5019385.9,9581720.75,5984758.35,98484967.85,0.26,0.88,0.13,1.27,0.38,3.55
Sky_23,3359678108.95,126974288.1,6462342.3,12062579.35,7921935.25,100527431.2,0.34,1.13,0.13,1.59,0.47,3.78
Sky_24,3359671567.4,120471589.95,5426483.9,9806674.15,6275735.9,98962696.0,0.28,0.91,0.13,1.32,0.39,3.59
Sky_25,3359672675.55,115586797.75,5756589.95,7529724.7,4576075.45,97724407.65,0.3,0.68,0.12,1.11,0.33,3.44
Sky_26,3359672389.2,110149174.55,4877766.1,5138856.05,3084212.9,97048339.5,0.25,0.46,0.12,0.84,0.25,3.28
Sky_27,3359673236.9,114168434.35,5899820.9,6576121.2,4023524.35,97668967.9,0.31,0.6,0.12,1.03,0.31,3.4
Sky_28,3359673022.95,117702372.05,6326458.85,8021553.15,4853764.75,98500595.3,0.33,0.73,0.13,1.18,0.35,3.5
Sky_29,3359679246.05,115648002.35,6743615.55,6837028.4,3992958.7,98074399.7,0.35,0.61,0.13,1.09,0.32,3.44
Sky_3,3359669826.1,117874185.95,4550619.55,9486905.5,5679008.45,98157652.45,0.24,0.86,0.13,1.22,0.36,3.51
Sky_30,3359667948.7,109893602.25,4780008.8,4960635.2,3128764.3,97024193.95,0.25,0.46,0.12,0.83,0.25,3.27
Sky_4,3359672373.75,114734616.6,4833098.05,7834159.05,4511530.4,97555829.1,0.25,0.7,0.12,1.07,0.32,3.41
Sky_5,3359673423.65,109631933.65,4818144.1,4880428.85,2930213.4,97003147.3,0.25,0.44,0.12,0.82,0.24,3.26
Sky_6,3359675355.3,113994398.7,4846672.65,7209310.4,4227998.3,97710417.35,0.25,0.65,0.12,1.02,0.3,3.39
Sky_7,3359675059.1,127316360.95,9932422.5,9989568.25,6132463.9,101261906.3,0.52,0.91,0.13,1.56,0.46,3.79
Sky_8,3359674968.1,126550352.6,6067654.55,12625122.3,7581388.75,100276187.0,0.32,1.14,0.13,1.58,0.47,3.77
Sky_9,3359673530.3,121794236.5,6219541.7,10220431.05,6187388.15,99166875.6,0.32,0.93,0.13,1.38,0.41,3.62
