seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,15,10.312924,0.687528,0.205,3.24
11,15,10.281455,0.68543,0.204,3.24
12,15,10.979789,0.731986,0.218,3.27
13,15,10.573725,0.704915,0.21,3.25
14,15,10.597331,0.706489,0.21,3.25
15,15,10.613364,0.707558,0.211,3.25
16,15,10.258978,0.683932,0.204,3.23
17,15,10.146955,0.676464,0.201,3.23
18,15,10.529291,0.701953,0.209,3.25
19,15,10.432167,0.695478,0.207,3.24
1,15,10.520518,0.701368,0.209,3.25
20,15,10.817545,0.72117,0.215,3.26
2,15,10.62967,0.708645,0.211,3.25
3,15,10.27986,0.685324,0.204,3.24
4,15,10.430025,0.695335,0.207,3.25
5,15,10.205973,0.680398,0.203,3.24
6,15,10.039672,0.669311,0.199,3.23
7,15,9.702084,0.646806,0.193,3.21
8,15,10.343237,0.689549,0.205,3.24
9,15,10.323526,0.688235,0.205,3.24
