node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,74.02,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,
02:00,92.9,90.35,89.68,119.0,118.85,99.87,6.0,6.0,100.0,100.0,118.85,44.13,344.75,6.0,32.97,257.55
03:00,97.1,97.45,98.15,119.0,118.45,99.54,6.0,6.0,100.0,100.0,118.45,55.43,433.08,6.0,24.96,194.99
04:00,99.8,70.65,95.25,119.0,118.75,99.79,6.0,6.0,100.0,100.0,118.75,52.71,411.76,6.0,28.18,220.18
05:00,99.7,80.45,84.48,119.0,118.8,99.83,6.0,6.0,100.0,100.0,118.8,54.68,427.17,6.0,24.77,193.49
06:00,99.8,70.45,95.36,119.0,118.85,99.87,6.0,6.0,100.0,100.0,118.85,44.83,350.26,6.0,21.02,164.26
07:00,100.0,74.05,89.59,119.0,118.8,99.83,5.0,5.0,100.0,100.0,118.8,43.99,343.64,5.0,18.07,141.17
08:00,97.2,97.3,97.47,119.0,118.6,99.66,5.0,5.0,100.0,100.0,118.6,28.79,224.92,5.0,44.91,350.86
09:00,100.0,75.6,88.36,119.0,118.85,99.87,5.0,5.0,100.0,100.0,118.85,47.53,371.37,5.0,33.27,259.92
10:00,99.9,67.4,95.45,119.0,118.75,99.79,5.0,5.0,100.0,100.0,118.75,26.33,205.73,5.0,45.82,357.97
11:00,99.4,78.1,84.19,119.0,118.7,99.75,5.0,5.0,100.0,100.0,118.7,45.66,356.76,5.0,36.21,282.89
12:00,98.8,67.0,95.07,119.0,118.55,99.62,5.0,5.0,100.0,100.0,118.55,51.67,403.65,5.0,22.77,177.89
13:00,97.9,98.1,98.71,119.0,118.4,99.5,5.0,5.0,100.0,100.0,118.4,40.64,317.52,5.0,30.9,241.41
14:00,91.55,92.55,90.04,119.0,118.65,99.71,5.0,5.0,100.0,100.0,118.65,36.74,287.04,5.0,35.43,276.8
15:00,97.85,98.0,98.2,119.0,118.5,99.58,5.0,5.0,100.0,100.0,118.5,43.89,342.9,5.0,38.0,296.88
