mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359653475.3,116666254.8,3030273.75,6296466.8,4401798.85,102937715.4,0.16,0.6,0.13,0.89,0.27,3.47
Sky_10,3359649180.95,107690252.55,5523906.95,2798148.45,1256576.4,98111620.75,0.29,0.23,0.13,0.64,0.19,3.2
Sky_11,3359652375.35,114735149.75,7907523.45,4248552.0,2317846.8,100261227.5,0.41,0.37,0.13,0.91,0.27,3.42
Sky_12,3359655125.6,111707867.0,7819867.4,3046232.8,1325452.9,99516313.9,0.41,0.25,0.13,0.78,0.23,3.32
Sky_13,3359651450.5,105817893.45,5010099.4,2298788.55,951861.3,97557144.2,0.26,0.18,0.12,0.57,0.17,3.15
Sky_14,3359652480.2,108552465.95,4748450.75,3944267.7,1892326.8,97967420.7,0.25,0.33,0.13,0.7,0.21,3.23
Sky_15,3359652592.2,106257573.0,4993610.65,2490752.5,1039317.55,97733892.3,0.26,0.2,0.12,0.58,0.17,3.16
Sky_2,3359652150.15,108492520.7,4810218.0,3941457.45,1913758.35,97827086.9,0.25,0.33,0.13,0.71,0.21,3.23
Sky_3,3359655497.6,105749104.7,4785825.85,2548734.8,1035668.9,97378875.15,0.25,0.2,0.12,0.58,0.17,3.15
Sky_4,3359652522.05,108342599.25,6025932.6,2904323.05,1183602.8,98228740.8,0.31,0.23,0.13,0.67,0.2,3.22
Sky_5,3359655001.1,114196984.65,8149281.25,3800199.45,2085952.5,100161551.45,0.43,0.33,0.13,0.89,0.26,3.4
Sky_6,3359653623.75,109896859.0,6993409.6,2772928.65,1259388.1,98871132.65,0.37,0.23,0.13,0.72,0.21,3.27
Sky_7,3359654076.5,105020411.2,3286754.4,3260349.3,1788220.35,96685087.15,0.17,0.28,0.12,0.58,0.17,3.13
Sky_8,3359651868.2,105609462.5,4912991.2,2335271.95,958948.7,97402250.65,0.26,0.19,0.12,0.57,0.17,3.14
Sky_9,3359650391.35,105647446.25,3256373.5,3627308.4,2007878.35,96755886.0,0.17,0.32,0.12,0.61,0.18,3.14
