node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,72.24,0,0,,0,0,,,0,,,0,,
02:00,90.0,91.0,92.01,119,119,100.0,6,6,100.0,100.0,119,0.0,0.0,6,89.0,695.31
03:00,98.0,98.0,99.3,119,119,100.0,6,6,100.0,100.0,119,0.28,2.17,6,55.67,434.9
04:00,100.0,98.0,95.59,119,119,100.0,6,6,100.0,100.0,119,36.23,283.02,6,5.17,40.36
05:00,98.0,82.0,85.72,119,119,100.0,6,6,100.0,100.0,119,45.62,356.42,6,10.33,80.73
06:00,100.0,61.0,97.46,119,119,100.0,6,6,100.0,100.0,119,0.01,0.07,6,69.33,541.67
07:00,100.0,76.0,91.38,119,117,98.32,5,5,100.0,100.0,117,25.34,197.98,5,13.6,106.25
08:00,97.0,97.0,98.3,119,118,99.16,5,5,100.0,100.0,118,0.32,2.52,5,55.0,429.69
09:00,100.0,77.0,83.04,119,118,99.16,5,5,100.0,100.0,118,0.04,0.33,5,62.4,487.5
10:00,100.0,62.0,96.8,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,87.2,681.25
11:00,100.0,73.0,86.94,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,82.4,643.75
12:00,100.0,61.0,92.8,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,90.8,709.38
13:00,98.0,98.0,98.55,119,119,100.0,5,5,100.0,100.0,119,0.94,7.35,5,62.0,484.38
14:00,97.0,86.0,93.77,119,119,100.0,5,5,100.0,100.0,119,0.88,6.89,5,53.8,420.31
15:00,97.0,97.0,98.77,119,118,99.16,5,5,100.0,100.0,118,0.0,0.0,5,127.6,996.88
