mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359703060,161038957,3759659,18129669,14757846,124391783,0.196254,1.854856,0.158973,2.210083,0.658,4.79
Sky_10,3359688470,114145399,7211473,4942091,2350361,99641474,0.376439,0.411294,0.127342,0.915075,0.272,3.4
Sky_11,3359696568,115040015,5268481,7359963,2861595,99549976,0.275015,0.576496,0.127225,0.978735,0.291,3.42
Sky_12,3359700464,138677488,17830849,8417049,4638508,107791082,0.93077,0.736333,0.137757,1.804861,0.537,4.13
Sky_13,3359679867,113232750,3758096,6558629,4429201,98486824,0.196173,0.619714,0.125866,0.941752,0.28,3.37
Sky_14,3359689352,134170781,17735391,6457259,3518872,106459259,0.925787,0.562654,0.136055,1.624496,0.484,3.99
Sky_15,3359689830,112548981,5091894,5930706,2496461,99029920,0.265797,0.475292,0.12656,0.867649,0.258,3.35
Sky_16,3359696873,116835330,5994676,7467911,3579459,99793284,0.312922,0.623072,0.127536,1.06353,0.317,3.48
Sky_17,3359703436,128086363,11428796,6735384,5621535,104300648,0.596583,0.69693,0.133296,1.42681,0.425,3.81
Sky_18,3359684715,107028129,6248701,1997630,993723,97788075,0.326182,0.168712,0.124973,0.619868,0.185,3.19
Sky_19,3359698324,127851292,10953796,8700894,4908606,103287996,0.571788,0.767576,0.132002,1.471366,0.438,3.81
Sky_2,3359702643,112186903,4792891,4677440,2982755,99733817,0.250189,0.432035,0.12746,0.809684,0.241,3.34
Sky_20,3359674583,113133164,5097104,5287739,4010887,98737434,0.266069,0.524443,0.126186,0.916698,0.273,3.37
Sky_21,3359703557,112739483,5132256,5026758,2796542,99783927,0.267904,0.441234,0.127524,0.836662,0.249,3.36
Sky_22,3359687440,128095295,14433189,6382683,2767655,104511768,0.753412,0.516079,0.133566,1.403058,0.418,3.81
Sky_23,3359685377,128377802,12774164,7216940,4256833,104129865,0.666811,0.647121,0.133078,1.44701,0.431,3.82
Sky_24,3359703672,127939532,14128812,6403758,3218677,104188285,0.737524,0.542705,0.133153,1.413382,0.421,3.81
Sky_25,3359674283,111727746,5061413,4484118,2354217,99827998,0.264206,0.385682,0.12758,0.777468,0.231,3.33
Sky_26,3359693128,104517169,3682852,3040133,1138936,96655248,0.192245,0.235699,0.123525,0.55147,0.164,3.11
Sky_27,3359692454,110364976,4856236,4970531,2110388,98427821,0.253496,0.399364,0.125791,0.77865,0.232,3.28
Sky_28,3359675600,114209207,5186142,4528220,3325162,101169683,0.270717,0.442931,0.129295,0.842942,0.251,3.4
Sky_29,3359683353,110361800,5213330,4607054,2005147,98536269,0.272136,0.372928,0.125929,0.770993,0.229,3.28
Sky_3,3359698958,110550175,4079346,5672749,3043846,97754234,0.212942,0.491616,0.12493,0.829488,0.247,3.29
Sky_30,3359675164,105965853,3919900,2773782,1523121,97749050,0.204619,0.242345,0.124923,0.571887,0.17,3.15
Sky_4,3359680968,109623306,5149038,4221108,1959811,98293349,0.26878,0.348604,0.125619,0.743003,0.221,3.26
Sky_5,3359679612,106755537,5796581,2372315,883963,97702678,0.302582,0.183654,0.124864,0.6111,0.182,3.18
Sky_6,3359683352,108569656,4486213,4230888,1905374,97947181,0.23418,0.346085,0.125176,0.705442,0.21,3.23
Sky_7,3359701190,123471625,7880767,8962979,4559235,102068644,0.411376,0.762653,0.130444,1.304473,0.388,3.68
Sky_8,3359697612,136267116,16055594,9101075,5012929,106097518,0.838102,0.79603,0.135593,1.769724,0.527,4.06
Sky_9,3359676400,116414862,6058420,5366816,3572139,101417487,0.31625,0.504157,0.129612,0.950018,0.283,3.47
